eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,magnitudeType,Agency
162701010000,1627,1,1,0,0,nan,-70.8,42.6,0.0,3.4,Mwp,NCE
163806111900,1638,6,11,19,0,nan,-71.8,44.4,0.0,6.5,Mwp,Ebe
163807010000,1638,7,1,0,0,nan,-70.9,42.5,0.0,2.4,Mwp,NCE
163901250000,1639,1,25,0,0,nan,-70.95,42.5,0.0,2.4,Mwp,NCE
164303151200,1643,3,15,12,0,nan,-70.8,42.8,0.0,2.9,Mwp,NCE
164306111800,1643,6,11,18,0,nan,-70.8,42.8,0.0,2.9,Mwp,NCE
165311080000,1653,11,8,0,0,nan,-70.9,42.6,0.0,2.4,Mwp,NCE
165804140000,1658,4,14,0,0,nan,-70.9,42.5,0.0,3.1,Mwp,NCE
166102101200,1661,2,10,12,0,nan,-73.0,45.5,0.0,5.3,Mwp,GSC
166302051730,1663,2,5,17,30,nan,-70.1,47.6,0.0,7.0,Mw,GSC
166302052300,1663,2,5,23,0,nan,-70.1,47.6,0.0,4.0,Mwp,GSC
166302061500,1663,2,6,15,0,nan,-70.1,47.6,0.0,4.6,Mwp,GSC
166302071400,1663,2,7,14,0,nan,-70.1,47.6,0.0,3.3,Mwp,GSC
166311160000,1663,11,16,0,0,nan,-70.1,47.6,0.0,3.3,Mwp,GSC
166400000000,1664,0,0,0,0,nan,-70.1,47.6,0.0,3.3,Mwp,GSC
166502240000,1665,2,24,0,0,nan,-70.0,47.8,0.0,5.1,Mwp,GSC
166510152150,1665,10,15,21,50,nan,-71.22,46.82,0.0,3.3,Mwp,GSC
166804030900,1668,4,3,9,0,nan,-71.1,42.35,0.0,2.9,Mwp,NCE
166804131300,1668,4,13,13,0,nan,-70.5,47.1,0.0,4.6,Mwp,GSC
166812190000,1668,12,19,0,0,nan,-71.5,42.5,0.0,3.1,Mwp,Ebe
167202000000,1672,2,0,0,0,nan,-69.7,48.15,0.0,3.3,Mwp,GSC
167312080000,1673,12,8,0,0,nan,-69.7,48.15,0.0,2.6,Mwp,GSC
167712130000,1677,12,13,0,0,nan,-73.5,41.1,0.0,2.9,Mwp,NCE
168502182100,1685,2,18,21,0,nan,-70.8,42.8,0.0,3.1,Mwp,Ebe
169702201115,1697,2,20,11,15,nan,-70.8,42.0,0.0,2.6,Mwp,Ebe
169801010000,1698,1,1,0,0,nan,-73.47,41.38,0.0,2.9,Mwp,NCE
170001270500,1700,1,27,5,0,nan,-125.0,48.5,nan,9.0,Mw,PGC
170102100000,1701,2,10,0,0,nan,-70.95,42.6,0.0,2.4,Mwp,NCE
170103080000,1701,3,8,0,0,nan,-70.95,42.6,0.0,2.4,Mwp,NCE
170201010000,1702,1,1,0,0,nan,-73.5,41.4,0.0,2.9,Mwp,NCE
170506270000,1705,6,27,0,0,nan,-71.1,42.4,0.0,2.9,Mwp,NCE
171112210000,1711,12,21,0,0,nan,-73.5,41.4,0.0,2.4,Mwp,NCE
172711100340,1727,11,10,3,40,nan,-70.6,42.8,0.0,4.7,Mwp,NCE
172711100435,1727,11,10,4,35,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172711100715,1727,11,10,7,15,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172711142200,1727,11,14,22,0,nan,-70.6,42.8,0.0,3.1,Mwp,NCE
172711181620,1727,11,18,16,20,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172711241000,1727,11,24,10,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172712010000,1727,12,1,0,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172712160000,1727,12,16,0,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172712191500,1727,12,19,15,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172712290330,1727,12,29,3,30,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172801050300,1728,1,5,3,0,nan,-70.6,42.8,0.0,3.0,Mwp,NCE
172801120000,1728,1,12,0,0,nan,-71.65,43.6,0.0,2.4,Mwp,NCE
172801180200,1728,1,18,2,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172802050230,1728,2,5,2,30,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172802081130,1728,2,8,11,30,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172802102030,1728,2,10,20,30,nan,-70.6,42.8,0.0,3.2,Mwp,NCE
172805160000,1728,5,16,0,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172805240240,1728,5,24,2,40,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172805290100,1728,5,29,1,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172806021500,1728,6,2,15,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172807301500,1728,7,30,15,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172808020315,1728,8,2,3,15,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172902101400,1729,2,10,14,0,nan,-70.6,42.8,0.0,3.1,Mwp,NCE
172903301900,1729,3,30,19,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172908060000,1729,8,6,0,0,nan,-73.5,41.4,0.0,2.9,Mwp,NCE
172909192030,1729,9,19,20,30,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172910102130,1729,10,10,21,30,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172911251300,1729,11,25,13,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
172912090100,1729,12,9,1,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173002200100,1730,2,20,1,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173002200500,1730,2,20,5,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173003090645,1730,3,9,6,45,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173004240100,1730,4,24,1,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173012070120,1730,12,7,1,20,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173012222345,1730,12,22,23,45,nan,-70.6,42.8,0.0,2.4,Mwp,NCE
173101130000,1731,1,13,0,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173101190000,1731,1,19,0,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173101230500,1731,1,23,5,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173107161000,1731,7,16,10,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173110130400,1731,10,13,4,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173202190000,1732,2,19,0,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173209161600,1732,9,16,16,0,nan,-73.6,45.5,0.0,6.3,Mw,GSC
173411230500,1734,11,23,5,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173602132245,1736,2,13,22,45,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173610120630,1736,10,12,6,30,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173611230700,1736,11,23,7,0,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173702172130,1737,2,17,21,30,nan,-71.0,42.4,0.0,2.9,Mwp,NCE
173709201520,1737,9,20,15,20,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
173712190345,1737,12,19,3,45,nan,-74.0,40.8,0.0,4.8,Mwp,NCE
173908130730,1739,8,13,7,30,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
174102052050,1741,2,5,20,50,nan,-70.6,42.8,0.0,2.9,Mwp,NCE
174106141535,1741,6,14,15,35,nan,-71.2,42.2,0.0,2.4,Mwp,NCE
174112171300,1741,12,17,13,0,nan,-71.2,42.3,0.0,2.4,Mwp,NCE
174405270000,1744,5,27,0,0,nan,-71.2,46.8,0.0,3.3,Mwp,GSC
174406141515,1744,6,14,15,15,nan,-70.9,42.5,0.0,4.2,Mwp,NCE
174406142200,1744,6,14,22,0,nan,-70.9,42.5,0.0,2.9,Mwp,NCE
174407010000,1744,7,1,0,0,nan,-70.9,42.5,0.0,2.9,Mwp,NCE
174407090000,1744,7,9,0,0,nan,-70.9,42.5,0.0,2.4,Mwp,NCE
174501031700,1745,1,3,17,0,nan,-70.9,42.8,0.0,2.4,Mwp,NCE
174708250000,1747,8,25,0,0,nan,-70.9,43.2,0.0,2.4,Mwp,NCE
175107210000,1751,7,21,0,0,nan,-70.9,43.2,0.0,2.4,Mwp,NCE
175212172330,1752,12,17,23,30,nan,-76.3,40.0,0.0,3.2,Mwp,SRA
175511180912,1755,11,18,9,12,nan,-70.3,42.7,0.0,5.5,Mwp,NCE
175511181029,1755,11,18,10,29,nan,-70.3,42.7,0.0,3.9,Mwp,NCE
175511230127,1755,11,23,1,27,nan,-70.3,42.7,0.0,3.0,Mwp,NCE
175512200300,1755,12,20,3,0,nan,-70.0,42.5,0.0,2.9,Mwp,NCE
175601020000,1756,1,2,0,0,nan,-71.1,42.35,0.0,2.4,Mwp,NCE
175611160900,1756,11,16,9,0,nan,-71.1,42.35,0.0,2.4,Mwp,NCE
175612040000,1756,12,4,0,0,nan,-71.1,42.35,0.0,2.4,Mwp,NCE
175707081915,1757,7,8,19,15,nan,-71.1,42.3,0.0,2.9,Mwp,NCE
175804250230,1758,4,25,2,30,nan,-76.5,38.9,0.0,3.1,Mwp,NCE
175902020700,1759,2,2,7,0,nan,-71.0,42.35,0.0,2.9,Mwp,NCE
176002030000,1760,2,3,0,0,nan,-71.1,42.52,0.0,2.4,Mwp,NCE
176103120715,1761,3,12,7,15,nan,-71.0,42.5,0.0,3.9,Mwp,NCE
