eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
191109220501,D06,1911,9,22,5,1,,,-148.56,60.710000000000001,,,,60.0,,6.9000000000000004,,Mw
191211070740,D06,1912,11,7,7,40,,,-155.06999999999999,57.759999999999998,,,,90.0,,7.2999999999999998,,Mw
191212051227,D06,1912,12,5,12,27,,,-154.88999999999999,57.020000000000003,,,,90.0,,6.7000000000000002,,Mw
192305041626,GEM,1923,5,4,16,26,,,-156.83199999999999,55.828000000000003,,,,25.0,,7.0,,Mw
193112240340,USHIS,1931,12,24,3,40,,,-152.0,60.0,,,,100.0,,6.2000000000000002,,Mw
193405040436,GEM,1934,5,4,4,36,,,-147.78100000000001,61.534999999999997,,,,25.0,,6.9000000000000004,,Mw
193405142212,USHIS,1934,5,14,22,12,,,-152.25,57.75,,,,60.0,,6.5,,Mw
193407282137,GEM,1934,7,28,21,37,,,-156.69900000000001,55.670000000000002,,,,20.0,,6.7000000000000002,,Mw
193605081722,USHIS,1936,5,8,17,22,,,-153.0,61.0,,,,170.0,,6.0,,Mw
193812301210,USHIS,1938,12,30,12,10,,,-153.0,59.0,,,,100.0,,5.5999999999999996,,Mw
193911130745,PGC,1939,11,13,7,45,,,-122.59999999999999,47.399999999999999,,,,63.0,,5.9000000000000004,,Mw
194104011041,GEM,1941,4,1,10,41,,,-153.53800000000001,56.024999999999999,,,,15.0,,6.5,,Mw
194107300151,GEM,1941,7,30,1,51,,,-151.03299999999999,60.927,,,,35.0,,6.4000000000000004,,Mw
194109280534,USHIS,1941,9,28,5,34,,,-157.5,56.5,,,,100.0,,7.0999999999999996,,Mw
194212051428,USHIS,1942,12,5,14,28,,,-152.0,59.5,,,,100.0,,7.0999999999999996,,Mw
194408141107,USHIS,1944,8,14,11,7,,,-155.0,59.0,,,,100.0,,6.7000000000000002,,Mw
194511032209,EVCG&R,1945,11,3,22,9,,,-151.0,58.5,,,,50.0,,6.7999999999999998,,Mw
194601122025,GEM,1946,1,12,20,25,,,-148.72399999999999,59.343000000000004,,,,20.0,,6.5999999999999996,,Mw
194606231713,PGC,1946,6,23,17,13,,,-125.34,49.759999999999998,,,,30.0,,7.2999999999999998,,Mw
194710160209,GEM,1947,10,16,2,9,,,-148.613,64.131,,,,26.0,,7.2999999999999998,,Mw
194808191350,D04,1948,8,19,13,50,,,-150.52000000000001,62.659999999999997,,,,100.0,,6.7000000000000002,,Mw
194904131955,PGC,1949,4,13,19,55,,,-122.95,47.130000000000003,,,,60.0,,6.7999999999999998,,Mw
195102132213,GEM,1951,2,13,22,13,,,-156.28,55.802,,,,20.0,,6.9000000000000004,,Mw
195106251612,USHIS,1951,6,25,16,12,,,-150.09999999999999,61.100000000000001,,,,128.0,,6.2000000000000002,,Mw
195111061754,NCE,1951,11,6,17,54,,,-73.549999999999997,44.920000000000002,,,,31.0,,3.5,,Mwp
195211292346,GEM,1952,11,29,23,46,,,-154.05600000000001,56.304000000000002,,,,20.0,,6.9000000000000004,,Mw
195403032046,USHIS,1954,3,3,20,46,,,-146.78,61.539999999999999,,,,56.0,,6.2000000000000002,,Mw
195410031118,GEM,1954,10,3,11,18,,,-150.57300000000001,60.683999999999997,,,,62.0,,6.4000000000000004,,Mw
195501111020,PGC,1955,1,11,10,20,,,-123.672,47.987000000000002,,,,37.0,,3.7000000000000002,,Mw
195502241000,PGC,1955,2,24,10,0,,,-122.992,47.908000000000001,,,,59.0,,2.6000000000000001,,Mw
195503260655,PGC,1955,3,26,6,55,,,-121.74299999999999,47.969000000000001,,,,33.0,,3.7000000000000002,,Mw
195504260013,PGC,1955,4,26,0,13,,,-122.154,48.707999999999998,,,,29.0,,3.0,,Mw
195505032124,PGC,1955,5,3,21,24,,,-123.389,48.350999999999999,,,,40.0,,2.5,,Mw
195506032021,PGC,1955,6,3,20,21,,,-123.553,49.423000000000002,,,,48.0,,2.6000000000000001,,Mw
195506061523,PGC,1955,6,6,15,23,,,-123.32599999999999,48.741,,,,58.0,,2.6000000000000001,,Mw
195507050752,PGC,1955,7,5,7,52,,,-123.30500000000001,48.43,,,,41.0,,3.6000000000000001,,Mw
195507231902,PGC,1955,7,23,19,2,,,-123.267,47.529000000000003,,,,36.0,,3.6000000000000001,,Mw
195509121509,PGC,1955,9,12,15,9,,,-124.684,48.356999999999999,,,,37.0,,2.0,,Mw
195509141303,PGC,1955,9,14,13,3,,,-122.053,47.326999999999998,,,,52.0,,3.1000000000000001,,Mw
195510091421,PGC,1955,10,9,14,21,,,-123.881,48.509999999999998,,,,57.0,,3.1000000000000001,,Mw
195511212219,PGC,1955,11,21,22,19,,,-122.417,48.432000000000002,,,,33.0,,3.6000000000000001,,Mw
195601260247,PGC,1956,1,26,2,47,,,-124.005,49.445999999999998,,,,70.0,,2.6000000000000001,,Mw
195602090128,PGC,1956,2,9,1,28,,,-122.411,48.351999999999997,,,,32.0,,3.2000000000000002,,Mw
195602291729,PGC,1956,2,29,17,29,,,-125.813,49.075000000000003,,,,23.0,,2.8999999999999999,,Mw
195603021156,D04,1956,3,2,11,56,,,-149.34,63.539999999999999,,,,79.0,,5.5999999999999996,,Mw
195604082228,PGC,1956,4,8,22,28,,,-123.18000000000001,48.423999999999999,,,,69.0,,3.8999999999999999,,Mw
195604271616,PGC,1956,4,27,16,16,,,-123.995,49.478999999999999,,,,48.0,,3.6000000000000001,,Mw
195607150601,PGC,1956,7,15,6,1,,,-122.75700000000001,48.308999999999997,,,,27.0,,2.3999999999999999,,Mw
195610201327,PGC,1956,10,20,13,27,,,-123.184,48.314,,,,49.0,,2.7999999999999998,,Mw
195611040444,PGC,1956,11,4,4,44,,,-123.98399999999999,47.686999999999998,,,,40.0,,2.2999999999999998,,Mw
195612010826,PGC,1956,12,1,8,26,,,-124.627,47.917999999999999,,,,21.0,,2.5,,Mw
195612052303,PGC,1956,12,5,23,3,,,-122.59399999999999,49.390000000000001,,,,29.0,,2.0,,Mw
195612261510,PGC,1956,12,26,15,10,,,-124.343,47.616999999999997,,,,39.0,,2.5,,Mw
195701030606,PGC,1957,1,3,6,6,,,-123.605,49.689,,,,29.0,,2.3999999999999999,,Mw
