eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
191201312011,D06,1912,1,31,20,11,,,-147.36000000000001,60.75,,,,80.0,,6.7999999999999998,,Mw
193209140843,USHIS,1932,9,14,8,43,,,-148.0,61.0,,,,50.0,,6.2000000000000002,,Mw
195306151747,GEM,1953,6,15,17,47,,,-154.12200000000001,56.281999999999996,,,,20.0,,6.5,,Mw
195507271819,GEM,1955,7,27,18,19,,,-153.465,56.085999999999999,,,,25.0,,6.2999999999999998,,Mw
195602090118,PGC,1956,2,9,1,18,,,-122.515,48.353000000000002,,,,26.0,,2.3999999999999999,,Mw
195603081732,PGC,1956,3,8,17,32,,,-122.986,48.639000000000003,,,,30.0,,2.3999999999999999,,Mw
195703220157,PGC,1957,3,22,1,57,,,-123.759,49.578000000000003,,,,40.0,,2.7000000000000002,,Mw
195811191502,USHIS,1958,11,19,15,2,,,-150.91,60.460000000000001,,,,46.0,,5.9000000000000004,,Mw
195812041813,PGC,1958,12,4,18,13,,,-123.873,49.584000000000003,,,,39.0,,2.7000000000000002,,Mw
195812072023,PGC,1958,12,7,20,23,,,-122.75700000000001,49.104999999999997,,,,29.0,,2.0,,Mw
195905022035,PGC,1959,5,2,20,35,,,-123.152,48.591000000000001,,,,29.0,,2.3999999999999999,,Mw
195906041231,USHIS,1959,6,4,12,31,,,-152.69999999999999,59.979999999999997,,,,99.0,,5.5,,Mw
196009011537,GEM,1960,9,1,15,37,,,-153.67099999999999,56.238999999999997,,,,22.0,,6.0,,Mw
196009040521,ISC,1960,9,4,5,21,,,-153.09999999999999,56.5,,,,48.0,,4.9000000000000004,,Mw
196012211439,USHIS,1960,12,21,14,39,,,-152.34999999999999,61.810000000000002,,,,100.0,,5.7999999999999998,,Mw
196112090215,GEM,1961,12,9,2,15,,,-153.47300000000001,56.277999999999999,,,,23.0,,6.0,,Mw
196207161254,D04,1962,7,16,12,54,,,-152.38999999999999,62.140000000000001,,,,50.0,,6.0,,Mw
196208181643,D04,1962,8,18,16,43,,,-152.49000000000001,62.140000000000001,,,,46.0,,6.0999999999999996,,Mw
196210210205,USHIS,1962,10,21,2,5,,,-149.21000000000001,61.390000000000001,,,,71.0,,6.0,,Mw
196304031554,USHIS,1963,4,3,15,54,,,-147.80000000000001,61.200000000000003,,,,71.0,,5.5999999999999996,,Mw
196401191246,ISC,1964,1,19,12,46,,,-150.19999999999999,60.07,,,,58.0,,4.2999999999999998,,Mw
196401281830,ISC,1964,1,28,18,30,,,-147.80000000000001,61.200000000000003,,,,172.0,,4.0,,Mw
196402061313,EVCEHB,1964,2,6,13,13,,,-155.97900000000001,55.649999999999999,,,,24.0,,6.2000000000000002,,Mw
196402061500,ISC,1964,2,6,15,0,,,-155.40000000000001,56.0,,,,33.0,,4.2999999999999998,,Mw
