# mean, investigation_time=50.0
lon,lat,0.1~PGA,0.1~SA(0.1),0.1~SA(0.2),0.1~SA(0.3),0.1~SA(0.5),0.1~SA(1.0),0.1~SA(2.0),0.02~PGA,0.02~SA(0.1),0.02~SA(0.2),0.02~SA(0.3),0.02~SA(0.5),0.02~SA(1.0),0.02~SA(2.0)
-132.10000,54.02000,3.242243E-01,6.628793E-01,8.130212E-01,8.051545E-01,6.421590E-01,3.765208E-01,1.690608E-01,4.968310E-01,1.033135E+00,1.253899E+00,1.244774E+00,1.009370E+00,6.100391E-01,2.786814E-01
-132.08000,53.26000,2.711743E-01,5.218252E-01,6.345988E-01,6.290098E-01,5.166773E-01,3.098581E-01,1.493724E-01,4.618569E-01,9.079124E-01,1.105587E+00,1.097033E+00,8.979704E-01,5.456072E-01,2.703176E-01
-131.82000,53.25000,2.383014E-01,4.605970E-01,5.627539E-01,5.669579E-01,4.709387E-01,2.885585E-01,1.374290E-01,4.012017E-01,7.924318E-01,9.530610E-01,9.490618E-01,7.854477E-01,4.812020E-01,2.350333E-01
-130.32000,54.32000,7.551389E-01,1.512025E+00,1.857727E+00,1.833305E+00,1.439607E+00,7.968229E-01,3.244296E-01,1.233999E+00,2.477980E+00,2.500000E+00,2.500000E+00,2.500000E+00,1.502733E+00,6.221424E-01
-128.65000,54.07000,4.628383E-01,9.434504E-01,1.121999E+00,1.034955E+00,7.510290E-01,3.891306E-01,1.553308E-01,8.522313E-01,1.727692E+00,2.072611E+00,1.998182E+00,1.530526E+00,8.172001E-01,3.177037E-01
-127.42000,50.70000,1.310028E+00,2.500000E+00,2.500000E+00,2.500000E+00,2.500000E+00,1.518703E+00,5.998156E-01,2.002040E+00,2.500000E+00,2.500000E+00,2.500000E+00,2.500000E+00,2.500000E+00,1.086336E+00
-125.88000,49.12000,3.471956E-01,6.797906E-01,8.354814E-01,8.320380E-01,6.562347E-01,3.600662E-01,1.848810E-01,8.080998E-01,1.569747E+00,1.957420E+00,2.106670E+00,1.743618E+00,9.860160E-01,6.156633E-01
-125.24000,50.02000,1.757089E-01,3.405340E-01,4.250512E-01,4.398947E-01,3.726560E-01,2.299363E-01,1.189141E-01,3.235704E-01,6.338233E-01,7.899969E-01,8.169284E-01,6.778249E-01,4.173758E-01,2.538586E-01
-124.80000,49.23300,2.502388E-01,5.007207E-01,6.023980E-01,5.925228E-01,4.636543E-01,2.612201E-01,1.397181E-01,5.359924E-01,1.079704E+00,1.322200E+00,1.369865E+00,1.119197E+00,6.375180E-01,4.027816E-01
-123.93000,49.17000,2.597371E-01,5.333936E-01,6.170692E-01,5.911533E-01,4.477493E-01,2.427783E-01,1.280361E-01,5.371763E-01,1.118202E+00,1.297100E+00,1.277061E+00,9.986538E-01,5.568712E-01,3.327893E-01
-123.40000,48.65000,3.124358E-01,6.418954E-01,7.529785E-01,7.203104E-01,5.514213E-01,2.959741E-01,1.521990E-01,6.095847E-01,1.274112E+00,1.497471E+00,1.477068E+00,1.155501E+00,6.389841E-01,3.759002E-01
-123.37000,48.43000,3.639618E-01,7.427585E-01,8.794478E-01,8.522507E-01,6.544699E-01,3.533996E-01,1.790930E-01,7.159210E-01,1.466923E+00,1.757018E+00,1.765543E+00,1.405128E+00,7.862136E-01,4.412171E-01
-123.15000,49.70000,1.468314E-01,2.962092E-01,3.325104E-01,3.122554E-01,2.374488E-01,1.409320E-01,7.693906E-02,3.260760E-01,6.691513E-01,7.412796E-01,6.982526E-01,5.309895E-01,3.012992E-01,1.821296E-01
-123.12000,49.25000,2.140994E-01,4.391811E-01,4.918822E-01,4.595178E-01,3.421031E-01,1.862666E-01,9.853957E-02,4.570850E-01,9.539475E-01,1.065004E+00,1.009823E+00,7.690028E-01,4.211412E-01,2.439336E-01
-122.32900,49.05200,1.696712E-01,3.470797E-01,3.891716E-01,3.619881E-01,2.712359E-01,1.498266E-01,7.981581E-02,3.630701E-01,7.540270E-01,8.291137E-01,7.828990E-01,5.911286E-01,3.290650E-01,1.944355E-01
-121.95000,49.16700,1.300985E-01,2.629119E-01,2.954109E-01,2.771002E-01,2.092297E-01,1.182870E-01,6.434701E-02,2.835191E-01,5.775610E-01,6.385552E-01,5.990653E-01,4.522411E-01,2.562339E-01,1.544640E-01
-120.32000,50.67000,5.065621E-02,9.674575E-02,1.130503E-01,1.074485E-01,9.043377E-02,6.150867E-02,3.332756E-02,1.371300E-01,2.781243E-01,3.175548E-01,2.830173E-01,2.026151E-01,1.197785E-01,6.641878E-02
-119.58000,49.50000,5.337658E-02,1.021990E-01,1.186320E-01,1.111943E-01,8.646325E-02,5.231725E-02,2.852967E-02,1.407026E-01,2.833470E-01,3.236337E-01,2.895819E-01,2.077630E-01,1.167379E-01,6.781970E-02
-119.48000,49.88000,5.044898E-02,9.651319E-02,1.124076E-01,1.052399E-01,8.231498E-02,5.099149E-02,2.776907E-02,1.371664E-01,2.780104E-01,3.172535E-01,2.823896E-01,2.001208E-01,1.117287E-01,6.316810E-02
-114.08000,51.05000,5.702030E-02,1.171321E-01,1.286404E-01,1.166181E-01,8.669894E-02,4.823721E-02,2.140909E-02,1.526788E-01,3.206305E-01,3.398158E-01,2.980905E-01,2.083444E-01,1.062487E-01,4.444532E-02
-113.47000,53.55000,3.330073E-02,7.012732E-02,7.313098E-02,6.546662E-02,4.972762E-02,2.821034E-02,1.253826E-02,1.107968E-01,2.344408E-01,2.342126E-01,2.005969E-01,1.373526E-01,6.817823E-02,2.851443E-02
