# mean, investigation_time=50.0
lon,lat,0.1~PGA,0.1~SA(0.1),0.1~SA(0.2),0.1~SA(0.3),0.1~SA(0.5),0.1~SA(1.0),0.1~SA(2.0),0.02~PGA,0.02~SA(0.1),0.02~SA(0.2),0.02~SA(0.3),0.02~SA(0.5),0.02~SA(1.0),0.02~SA(2.0)
-132.10000,54.02000,2.254415E-01,4.464925E-01,5.646700E-01,5.722036E-01,4.575536E-01,2.607682E-01,1.433370E-01,4.129054E-01,8.408948E-01,1.061304E+00,1.078771E+00,8.287998E-01,4.631636E-01,2.605406E-01
-132.08000,53.26000,4.694673E-01,9.694602E-01,1.139472E+00,1.124300E+00,8.779144E-01,4.802054E-01,2.550715E-01,8.523247E-01,1.828837E+00,2.085484E+00,2.080301E+00,1.613425E+00,8.860546E-01,4.929417E-01
-131.82000,53.25000,3.709246E-01,7.604580E-01,9.144128E-01,9.130564E-01,7.222251E-01,3.998087E-01,2.135310E-01,6.664198E-01,1.408531E+00,1.691162E+00,1.711665E+00,1.322663E+00,7.278056E-01,4.065451E-01
-130.32000,54.32000,6.719628E-02,1.183499E-01,1.563019E-01,1.693097E-01,1.568552E-01,1.056859E-01,6.350482E-02,1.309071E-01,2.499431E-01,3.142439E-01,3.235665E-01,2.762681E-01,1.813659E-01,1.122599E-01
-128.65000,54.07000,3.947950E-02,6.717164E-02,8.658523E-02,9.446814E-02,9.425994E-02,6.993038E-02,4.405516E-02,9.037488E-02,1.721854E-01,2.049605E-01,1.992394E-01,1.747407E-01,1.239567E-01,7.880608E-02
-127.42000,50.70000,1.866643E-01,3.751280E-01,4.699019E-01,4.682478E-01,3.728006E-01,2.120640E-01,1.116340E-01,3.448430E-01,6.920799E-01,8.798657E-01,8.973425E-01,7.149591E-01,4.130930E-01,2.434218E-01
-125.88000,49.12000,2.272243E-01,4.378321E-01,5.482035E-01,5.444173E-01,4.276875E-01,2.359308E-01,1.238515E-01,6.671499E-01,1.247417E+00,1.598354E+00,1.738174E+00,1.475876E+00,8.434653E-01,5.348322E-01
-125.24000,50.02000,1.362763E-01,2.645522E-01,3.260669E-01,3.210839E-01,2.543576E-01,1.470331E-01,7.967837E-02,3.182533E-01,6.145796E-01,7.723173E-01,7.782446E-01,6.194845E-01,3.634824E-01,2.285187E-01
-124.80000,49.23300,2.157866E-01,4.335382E-01,5.138917E-01,4.933149E-01,3.753901E-01,2.024049E-01,1.050446E-01,4.735100E-01,9.437710E-01,1.162213E+00,1.195474E+00,9.688341E-01,5.604149E-01,3.475194E-01
-123.93000,49.17000,2.660660E-01,5.571437E-01,6.333435E-01,5.936510E-01,4.351017E-01,2.243248E-01,1.130793E-01,5.298441E-01,1.129685E+00,1.280904E+00,1.232827E+00,9.353631E-01,5.062157E-01,2.972927E-01
-123.40000,48.65000,3.305681E-01,6.944993E-01,7.941828E-01,7.378380E-01,5.397123E-01,2.760322E-01,1.355537E-01,6.290763E-01,1.341790E+00,1.534479E+00,1.471723E+00,1.114355E+00,5.968809E-01,3.366529E-01
-123.37000,48.43000,3.493153E-01,7.316939E-01,8.369011E-01,7.855635E-01,5.752610E-01,2.948888E-01,1.443561E-01,6.604405E-01,1.397280E+00,1.614564E+00,1.571690E+00,1.200632E+00,6.508297E-01,3.704439E-01
-123.15000,49.70000,1.500230E-01,3.094336E-01,3.536118E-01,3.273531E-01,2.400625E-01,1.280245E-01,6.695354E-02,3.221899E-01,6.719270E-01,7.687404E-01,7.145230E-01,5.309557E-01,2.908694E-01,1.689672E-01
-123.12000,49.25000,2.193672E-01,4.598523E-01,5.220537E-01,4.809060E-01,3.488982E-01,1.803018E-01,9.145328E-02,4.421273E-01,9.463356E-01,1.064933E+00,9.954571E-01,7.384747E-01,3.944102E-01,2.231473E-01
-122.32900,49.05200,1.858410E-01,3.911372E-01,4.432831E-01,4.093681E-01,2.972123E-01,1.551661E-01,7.826285E-02,3.762655E-01,7.948902E-01,9.027767E-01,8.436866E-01,6.252866E-01,3.376876E-01,1.877426E-01
-121.95000,49.16700,1.416094E-01,2.937750E-01,3.348678E-01,3.096585E-01,2.268729E-01,1.205930E-01,6.169995E-02,2.970512E-01,6.162307E-01,7.080455E-01,6.562067E-01,4.861449E-01,2.663096E-01,1.501716E-01
-120.32000,50.67000,3.094699E-02,5.694141E-02,6.786890E-02,6.634720E-02,5.584852E-02,3.531069E-02,1.949731E-02,8.171822E-02,1.585272E-01,1.814058E-01,1.653791E-01,1.273346E-01,7.869118E-02,4.954887E-02
-119.58000,49.50000,3.617521E-02,6.720381E-02,7.997050E-02,7.812575E-02,6.466855E-02,4.022262E-02,2.210051E-02,8.964039E-02,1.739018E-01,2.003835E-01,1.843603E-01,1.435739E-01,8.823372E-02,5.565992E-02
-119.48000,49.88000,3.101670E-02,5.697358E-02,6.783014E-02,6.653908E-02,5.636181E-02,3.591091E-02,1.992027E-02,8.128946E-02,1.573083E-01,1.796176E-01,1.638071E-01,1.269539E-01,7.911405E-02,5.008370E-02
-114.08000,51.05000,3.020595E-02,6.007912E-02,6.833021E-02,6.351497E-02,4.890484E-02,2.700253E-02,1.145096E-02,8.675813E-02,1.801352E-01,1.977459E-01,1.772136E-01,1.284001E-01,6.696962E-02,2.787404E-02
-113.47000,53.55000,1.297174E-02,2.736165E-02,2.857776E-02,2.682729E-02,2.172319E-02,1.201220E-02,4.785749E-03,4.060656E-02,8.870360E-02,8.614835E-02,7.687716E-02,5.919147E-02,3.239395E-02,1.357637E-02
