# mean, investigation_time=50.0
lon,lat,0.1~PGA,0.1~SA(0.1),0.1~SA(0.2),0.1~SA(0.3),0.1~SA(0.5),0.1~SA(1.0),0.1~SA(2.0),0.02~PGA,0.02~SA(0.1),0.02~SA(0.2),0.02~SA(0.3),0.02~SA(0.5),0.02~SA(1.0),0.02~SA(2.0)
-132.10000,54.02000,1.730502E-01,3.312110E-01,3.984435E-01,3.931249E-01,3.185199E-01,1.864670E-01,9.051412E-02,3.233212E-01,6.434382E-01,7.626930E-01,7.347367E-01,5.897197E-01,3.475369E-01,1.713832E-01
-132.08000,53.26000,2.583665E-01,4.956168E-01,6.031943E-01,5.916365E-01,4.732713E-01,2.736450E-01,1.316795E-01,4.424311E-01,8.696287E-01,1.053624E+00,1.040531E+00,8.500298E-01,5.085406E-01,2.553802E-01
-131.82000,53.25000,2.187484E-01,4.183072E-01,5.037544E-01,4.958036E-01,4.023874E-01,2.306977E-01,1.116326E-01,3.842417E-01,7.546419E-01,9.038096E-01,8.900192E-01,7.253714E-01,4.316182E-01,2.153726E-01
-130.32000,54.32000,2.539745E-01,5.251531E-01,6.068679E-01,5.417234E-01,3.761881E-01,1.910562E-01,8.120127E-02,5.265229E-01,1.076864E+00,1.262780E+00,1.168756E+00,8.450646E-01,4.303158E-01,1.713094E-01
-128.65000,54.07000,2.594945E-01,5.364558E-01,6.227771E-01,5.660550E-01,4.054657E-01,2.118497E-01,8.825293E-02,5.253676E-01,1.075799E+00,1.263808E+00,1.173437E+00,8.550231E-01,4.434211E-01,1.763752E-01
-127.42000,50.70000,2.985844E-01,6.071208E-01,7.267167E-01,6.835517E-01,5.112491E-01,2.750655E-01,1.312425E-01,5.696719E-01,1.151075E+00,1.381710E+00,1.326040E+00,1.008097E+00,5.529455E-01,2.845569E-01
-125.88000,49.12000,3.659186E-01,7.138875E-01,8.778286E-01,8.776758E-01,6.956005E-01,3.788251E-01,1.948167E-01,8.339143E-01,1.626227E+00,2.036255E+00,2.182633E+00,1.803518E+00,1.017768E+00,6.283748E-01
-125.24000,50.02000,1.388514E-01,2.686709E-01,3.351657E-01,3.374320E-01,2.754711E-01,1.632339E-01,9.182584E-02,3.113314E-01,6.064520E-01,7.624850E-01,7.832943E-01,6.346219E-01,3.791298E-01,2.473509E-01
-124.80000,49.23300,2.442523E-01,4.853649E-01,5.951977E-01,5.903436E-01,4.649911E-01,2.586975E-01,1.394466E-01,5.339272E-01,1.070211E+00,1.328741E+00,1.386162E+00,1.139352E+00,6.506506E-01,4.087573E-01
-123.93000,49.17000,2.389699E-01,4.896892E-01,5.861233E-01,5.669305E-01,4.332899E-01,2.328849E-01,1.230450E-01,5.107420E-01,1.059840E+00,1.263634E+00,1.256665E+00,9.985442E-01,5.583102E-01,3.325255E-01
-123.40000,48.65000,2.898653E-01,5.951705E-01,7.070066E-01,6.811285E-01,5.243265E-01,2.818480E-01,1.457923E-01,5.870052E-01,1.221811E+00,1.460124E+00,1.452313E+00,1.152913E+00,6.371891E-01,3.752816E-01
-123.37000,48.43000,3.261172E-01,6.665932E-01,8.020466E-01,7.804163E-01,6.008004E-01,3.225601E-01,1.655934E-01,6.613099E-01,1.360159E+00,1.646910E+00,1.660338E+00,1.329448E+00,7.423088E-01,4.285237E-01
-123.15000,49.70000,1.177599E-01,2.367012E-01,2.829912E-01,2.703823E-01,2.083973E-01,1.190341E-01,6.654224E-02,2.705271E-01,5.503235E-01,6.456365E-01,6.198000E-01,4.794012E-01,2.768790E-01,1.733437E-01
-123.12000,49.25000,1.763333E-01,3.631740E-01,4.287162E-01,4.088086E-01,3.085447E-01,1.669042E-01,8.964301E-02,3.918054E-01,8.126828E-01,9.517882E-01,9.191843E-01,7.133326E-01,3.972922E-01,2.356096E-01
-122.32900,49.05200,1.386063E-01,2.843043E-01,3.329779E-01,3.161930E-01,2.397723E-01,1.326002E-01,7.222714E-02,3.027540E-01,6.243522E-01,7.315655E-01,6.978903E-01,5.382914E-01,3.043496E-01,1.853422E-01
-121.95000,49.16700,1.082441E-01,2.185572E-01,2.571298E-01,2.435777E-01,1.858140E-01,1.048645E-01,5.756297E-02,2.417159E-01,4.936660E-01,5.765871E-01,5.434965E-01,4.139765E-01,2.364928E-01,1.476440E-01
-120.32000,50.67000,4.581135E-02,8.771178E-02,1.031262E-01,9.859528E-02,8.532149E-02,5.935448E-02,3.219769E-02,1.263866E-01,2.560484E-01,2.924495E-01,2.591390E-01,1.861226E-01,1.126374E-01,6.341972E-02
-119.58000,49.50000,4.794786E-02,9.255794E-02,1.081985E-01,1.010511E-01,7.737597E-02,4.566780E-02,2.508776E-02,1.296400E-01,2.615100E-01,2.988191E-01,2.658834E-01,1.889488E-01,1.052479E-01,6.301131E-02
-119.48000,49.88000,4.524436E-02,8.715587E-02,1.019153E-01,9.463611E-02,7.348277E-02,4.554165E-02,2.507327E-02,1.261848E-01,2.555472E-01,2.916819E-01,2.578070E-01,1.811497E-01,1.006988E-01,5.871786E-02
-114.08000,51.05000,5.458935E-02,1.153158E-01,1.189940E-01,1.058061E-01,7.724863E-02,4.116358E-02,1.773785E-02,1.474576E-01,3.138359E-01,3.044057E-01,2.627100E-01,1.847722E-01,9.306111E-02,3.855698E-02
-113.47000,53.55000,3.419903E-02,7.557544E-02,7.240754E-02,6.298608E-02,4.690831E-02,2.493505E-02,1.037681E-02,1.056512E-01,2.301289E-01,2.005573E-01,1.675275E-01,1.189116E-01,5.973269E-02,2.464650E-02
