# mean, investigation_time=50.0
lon,lat,0.1~PGA,0.1~SA(0.1),0.1~SA(0.2),0.1~SA(0.3),0.1~SA(0.5),0.1~SA(1.0),0.1~SA(2.0),0.02~PGA,0.02~SA(0.1),0.02~SA(0.2),0.02~SA(0.3),0.02~SA(0.5),0.02~SA(1.0),0.02~SA(2.0)
-132.10000,54.02000,3.821111E-01,7.903039E-01,9.591175E-01,9.527356E-01,7.744598E-01,4.565550E-01,2.064585E-01,5.616959E-01,1.173349E+00,1.426802E+00,1.424348E+00,1.163240E+00,7.116493E-01,3.231095E-01
-132.08000,53.26000,2.826894E-01,5.454690E-01,6.632691E-01,6.617291E-01,5.505435E-01,3.353351E-01,1.609081E-01,4.807309E-01,9.445968E-01,1.152637E+00,1.147200E+00,9.426041E-01,5.758621E-01,2.831373E-01
-131.82000,53.25000,2.530337E-01,4.923981E-01,6.013331E-01,6.113013E-01,5.156196E-01,3.202117E-01,1.525068E-01,4.154917E-01,8.237715E-01,9.944247E-01,9.966568E-01,8.296940E-01,5.163177E-01,2.496404E-01
-130.32000,54.32000,9.353576E-01,1.863747E+00,2.332933E+00,2.344576E+00,1.862215E+00,1.058027E+00,4.358457E-01,1.467771E+00,2.500000E+00,2.500000E+00,2.500000E+00,2.500000E+00,1.874353E+00,7.846223E-01
-128.65000,54.07000,5.854259E-01,1.186161E+00,1.412855E+00,1.323009E+00,9.759849E-01,5.093474E-01,2.004359E-01,1.016454E+00,2.070155E+00,2.478072E+00,2.431078E+00,1.885650E+00,1.028628E+00,4.010823E-01
-127.42000,50.70000,1.602306E+00,2.500000E+00,2.500000E+00,2.500000E+00,2.500000E+00,1.973850E+00,7.917194E-01,2.130000E+00,2.500000E+00,2.500000E+00,2.500000E+00,2.500000E+00,2.500000E+00,1.329675E+00
-125.88000,49.12000,3.285315E-01,6.463113E-01,7.930159E-01,7.860480E-01,6.176268E-01,3.433758E-01,1.759654E-01,7.809110E-01,1.509029E+00,1.875097E+00,2.019777E+00,1.680841E+00,9.527126E-01,6.022827E-01
-125.24000,50.02000,1.938992E-01,3.776794E-01,4.687610E-01,4.881825E-01,4.180350E-01,2.612843E-01,1.320808E-01,3.328415E-01,6.542102E-01,8.107840E-01,8.431352E-01,7.070983E-01,4.421972E-01,2.591002E-01
-124.80000,49.23300,2.558099E-01,5.150337E-01,6.091570E-01,5.945607E-01,4.623949E-01,2.631427E-01,1.399091E-01,5.379834E-01,1.088798E+00,1.315788E+00,1.353756E+00,1.099043E+00,6.243713E-01,3.966340E-01
-123.93000,49.17000,2.791771E-01,5.718759E-01,6.458530E-01,6.136430E-01,4.609805E-01,2.513348E-01,1.323602E-01,5.601909E-01,1.167242E+00,1.327961E+00,1.296039E+00,9.987026E-01,5.554460E-01,3.330379E-01
-123.40000,48.65000,3.323307E-01,6.837253E-01,7.918915E-01,7.553717E-01,5.723825E-01,3.080159E-01,1.579072E-01,6.294178E-01,1.320818E+00,1.530004E+00,1.499648E+00,1.157776E+00,6.405614E-01,3.764779E-01
-123.37000,48.43000,3.983644E-01,8.070281E-01,9.501556E-01,9.181137E-01,7.036411E-01,3.816280E-01,1.912761E-01,7.640334E-01,1.555702E+00,1.854671E+00,1.860428E+00,1.474818E+00,8.228569E-01,4.531567E-01
-123.15000,49.70000,1.716149E-01,3.488777E-01,3.794527E-01,3.501786E-01,2.633410E-01,1.562976E-01,8.427660E-02,3.702353E-01,7.670723E-01,8.184162E-01,7.673318E-01,5.753230E-01,3.221880E-01,1.900857E-01
-123.12000,49.25000,2.464213E-01,5.079527E-01,5.518017E-01,5.072645E-01,3.734156E-01,2.030317E-01,1.057635E-01,5.100786E-01,1.071515E+00,1.154970E+00,1.090497E+00,8.146883E-01,4.426649E-01,2.516095E-01
-122.32900,49.05200,1.986323E-01,4.067918E-01,4.362036E-01,4.042657E-01,2.985759E-01,1.637340E-01,8.627767E-02,4.107490E-01,8.512880E-01,9.080833E-01,8.505356E-01,6.366149E-01,3.512941E-01,2.027781E-01
-121.95000,49.16700,1.501430E-01,3.027281E-01,3.277083E-01,3.054737E-01,2.288646E-01,1.298169E-01,6.994207E-02,3.140754E-01,6.409302E-01,6.915771E-01,6.464468E-01,4.863091E-01,2.738549E-01,1.607057E-01
-120.32000,50.67000,5.515311E-02,1.053989E-01,1.227520E-01,1.160091E-01,9.568056E-02,6.372536E-02,3.446937E-02,1.471658E-01,2.980644E-01,3.416256E-01,3.046995E-01,2.183909E-01,1.267629E-01,6.932127E-02
-119.58000,49.50000,5.814451E-02,1.107831E-01,1.287653E-01,1.207253E-01,9.481844E-02,5.776850E-02,3.137561E-02,1.506782E-01,3.026678E-01,3.473706E-01,3.111915E-01,2.247179E-01,1.269810E-01,7.215156E-02
-119.48000,49.88000,5.518660E-02,1.054295E-01,1.224978E-01,1.147559E-01,9.042191E-02,5.586423E-02,3.012202E-02,1.473799E-01,2.982712E-01,3.417238E-01,3.045788E-01,2.172016E-01,1.215481E-01,6.721184E-02
-114.08000,51.05000,5.946537E-02,1.190522E-01,1.389633E-01,1.277272E-01,9.560300E-02,5.425751E-02,2.430651E-02,1.573684E-01,3.269583E-01,3.750850E-01,3.316523E-01,2.301726E-01,1.178016E-01,4.930195E-02
-113.47000,53.55000,3.214319E-02,6.262300E-02,7.409785E-02,6.865193E-02,5.274307E-02,3.111029E-02,1.435686E-02,1.156750E-01,2.388102E-01,2.714168E-01,2.359825E-01,1.575388E-01,7.666689E-02,3.186291E-02
