# mean, investigation_time=50.0
lon,lat,PGA-0.001,PGA-0.00123697383288,PGA-0.00153010426322,PGA-0.00189269893518,PGA-0.00234121905633,PGA-0.00289602670972,PGA-0.00358230925923,PGA-0.00443122281494,PGA-0.00548130666973,PGA-0.00678023292043,PGA-0.00838697070339,PGA-0.0103744632972,PGA-0.0128329396288,PGA-0.0158740105197,PGA-0.0196357356357,PGA-0.0242888911706,PGA-0.0300447228076,PGA-0.0371645359291,PGA-0.0459715584553,PGA-0.0568656148658,PGA-0.0703412775794,PGA-0.0870103197369,PGA-0.107629488705,PGA-0.133134861174,PGA-0.164684339516,PGA-0.203710218666,PGA-0.251984209979,PGA-0.311697874042,PGA-0.385562113954,PGA-0.476930245909,PGA-0.589950234297,PGA-0.729753002526,PGA-0.902685368588,PGA-1.11659818026,PGA-1.38120273082,PGA-1.70851163593,PGA-2.11338418681,PGA-2.6142009379,PGA-3.23369815406,PGA-4.0,SA(2.0)-0.001,SA(2.0)-0.00123697383288,SA(2.0)-0.00153010426322,SA(2.0)-0.00189269893518,SA(2.0)-0.00234121905633,SA(2.0)-0.00289602670972,SA(2.0)-0.00358230925923,SA(2.0)-0.00443122281494,SA(2.0)-0.00548130666973,SA(2.0)-0.00678023292043,SA(2.0)-0.00838697070339,SA(2.0)-0.0103744632972,SA(2.0)-0.0128329396288,SA(2.0)-0.0158740105197,SA(2.0)-0.0196357356357,SA(2.0)-0.0242888911706,SA(2.0)-0.0300447228076,SA(2.0)-0.0371645359291,SA(2.0)-0.0459715584553,SA(2.0)-0.0568656148658,SA(2.0)-0.0703412775794,SA(2.0)-0.0870103197369,SA(2.0)-0.107629488705,SA(2.0)-0.133134861174,SA(2.0)-0.164684339516,SA(2.0)-0.203710218666,SA(2.0)-0.251984209979,SA(2.0)-0.311697874042,SA(2.0)-0.385562113954,SA(2.0)-0.476930245909,SA(2.0)-0.589950234297,SA(2.0)-0.729753002526,SA(2.0)-0.902685368588,SA(2.0)-1.11659818026,SA(2.0)-1.38120273082,SA(2.0)-1.70851163593,SA(2.0)-2.11338418681,SA(2.0)-2.6142009379,SA(2.0)-3.23369815406,SA(2.0)-4.0
-97.15000,49.89000,4.325370E-01,3.975905E-01,3.610345E-01,3.236985E-01,2.864092E-01,2.499584E-01,2.150747E-01,1.823935E-01,1.524256E-01,1.255313E-01,1.019059E-01,8.158181E-02,6.444663E-02,5.027397E-02,3.876037E-02,2.956174E-02,2.232449E-02,1.670903E-02,1.240551E-02,9.142824E-03,6.692093E-03,4.865929E-03,3.514749E-03,2.521493E-03,1.795883E-03,1.269053E-03,8.889312E-04,6.164680E-04,4.226015E-04,2.858380E-04,1.903512E-04,1.245195E-04,7.982484E-05,5.003446E-05,3.060113E-05,1.822878E-05,1.055857E-05,5.936323E-06,3.232841E-06,1.700797E-06,1.855734E-01,1.589753E-01,1.348075E-01,1.130785E-01,9.374117E-02,7.671405E-02,6.189551E-02,4.916986E-02,3.840784E-02,2.946428E-02,2.217590E-02,1.636185E-02,1.182816E-02,8.375512E-03,5.808947E-03,3.946981E-03,2.628644E-03,1.717439E-03,1.102345E-03,6.964904E-04,4.343467E-04,2.682151E-04,1.645682E-04,1.006348E-04,6.145136E-05,3.747814E-05,2.278664E-05,1.375968E-05,8.209802E-06,4.811712E-06,2.753412E-06,1.529278E-06,8.198663E-07,4.221094E-07,2.077250E-07,9.728063E-08,4.317318E-08,1.808255E-08,7.118046E-09,2.622177E-09
-94.43000,49.82000,4.502071E-01,4.178740E-01,3.836952E-01,3.483263E-01,3.124430E-01,2.767280E-01,2.418569E-01,2.084742E-01,1.771602E-01,1.483932E-01,1.225173E-01,9.972499E-02,8.005618E-02,6.341513E-02,4.959870E-02,3.832993E-02,2.929101E-02,2.215181E-02,1.659213E-02,1.231732E-02,9.067729E-03,6.622669E-03,4.800071E-03,3.453257E-03,2.466183E-03,1.748325E-03,1.229935E-03,8.579576E-04,5.925937E-04,4.044091E-04,2.719013E-04,1.794941E-04,1.159282E-04,7.301629E-05,4.473592E-05,2.661950E-05,1.536896E-05,8.603315E-06,4.664205E-06,2.444221E-06,1.967835E-01,1.693483E-01,1.442998E-01,1.216801E-01,1.014650E-01,8.358736E-02,6.795336E-02,5.445126E-02,4.295463E-02,3.332167E-02,2.539380E-02,1.899604E-02,1.394039E-02,1.003228E-02,7.078936E-03,4.897906E-03,3.324091E-03,2.214347E-03,1.449452E-03,9.337769E-04,5.933305E-04,3.728186E-04,2.323085E-04,1.439142E-04,8.878508E-05,5.456005E-05,3.334543E-05,2.020209E-05,1.207618E-05,7.083492E-06,4.053408E-06,2.249822E-06,1.204649E-06,6.191017E-07,3.039717E-07,1.419707E-07,6.281708E-08,2.622558E-08,1.028928E-08,3.777820E-09
-93.82000,51.05000,4.850349E-01,4.494627E-01,4.118097E-01,3.728971E-01,3.335682E-01,2.946480E-01,2.569115E-01,2.210539E-01,1.876613E-01,1.571848E-01,1.299217E-01,1.060095E-01,8.543394E-02,6.805073E-02,5.361592E-02,4.182001E-02,3.232080E-02,2.477131E-02,1.884105E-02,1.423024E-02,1.067745E-02,7.961837E-03,5.901428E-03,4.349014E-03,3.187052E-03,2.322573E-03,1.682702E-03,1.210958E-03,8.641806E-04,6.098982E-04,4.240621E-04,2.891088E-04,1.922860E-04,1.241996E-04,7.766028E-05,4.693907E-05,2.742010E-05,1.548762E-05,8.458456E-06,4.461808E-06,2.157280E-01,1.859437E-01,1.586680E-01,1.339656E-01,1.118309E-01,9.221081E-02,7.502136E-02,6.015589E-02,4.748767E-02,3.686894E-02,2.812959E-02,2.107825E-02,1.550706E-02,1.119997E-02,7.942873E-03,5.533652E-03,3.790117E-03,2.554998E-03,1.697841E-03,1.114369E-03,7.240878E-04,4.669117E-04,2.994268E-04,1.912306E-04,1.216469E-04,7.697252E-05,4.830884E-05,2.995061E-05,1.825368E-05,1.087833E-05,6.305354E-06,3.536104E-06,1.909263E-06,9.879623E-07,4.878728E-07,2.290035E-07,1.017873E-07,4.267923E-08,1.681617E-08,6.200870E-09
-93.55000,49.80000,4.550468E-01,4.234512E-01,3.900793E-01,3.555261E-01,3.204023E-01,2.853302E-01,2.509370E-01,2.178350E-01,1.865889E-01,1.576777E-01,1.314608E-01,1.081573E-01,8.784224E-02,7.046009E-02,5.584928E-02,4.377246E-02,3.394647E-02,2.606859E-02,1.983766E-02,1.496983E-02,1.120901E-02,8.332463E-03,6.152294E-03,4.513809E-03,3.291999E-03,2.387268E-03,1.721260E-03,1.233174E-03,8.765745E-04,6.166156E-04,4.276125E-04,2.909422E-04,1.932085E-04,1.246479E-04,7.786755E-05,4.702825E-05,2.745462E-05,1.549882E-05,8.460809E-06,4.461402E-06,2.019943E-01,1.742479E-01,1.488472E-01,1.258516E-01,1.052519E-01,8.699222E-02,7.098687E-02,5.712939E-02,4.529642E-02,3.534792E-02,2.712652E-02,2.045828E-02,1.515638E-02,1.102745E-02,7.879699E-03,5.531027E-03,3.815855E-03,2.589640E-03,1.730959E-03,1.141428E-03,7.440401E-04,4.804918E-04,3.080511E-04,1.963695E-04,1.245276E-04,7.849264E-05,4.906267E-05,3.030009E-05,1.840336E-05,1.093604E-05,6.324151E-06,3.540248E-06,1.908888E-06,9.867832E-07,4.869557E-07,2.284744E-07,1.015290E-07,4.256755E-08,1.677243E-08,6.185115E-09
-93.39000,48.61000,4.024992E-01,3.720361E-01,3.404328E-01,3.083360E-01,2.763408E-01,2.449819E-01,2.147348E-01,1.860197E-01,1.591984E-01,1.345650E-01,1.123332E-01,9.262347E-02,7.545897E-02,6.076977E-02,4.840754E-02,3.816630E-02,2.980526E-02,2.306995E-02,1.770960E-02,1.348980E-02,1.020045E-02,7.659367E-03,5.712611E-03,4.232653E-03,3.115448E-03,2.277290E-03,1.651834E-03,1.187348E-03,8.441396E-04,5.921125E-04,4.085822E-04,2.764569E-04,1.828090E-04,1.177769E-04,7.374895E-05,4.480798E-05,2.638619E-05,1.504535E-05,8.295943E-06,4.414580E-06,1.765435E-01,1.519830E-01,1.295839E-01,1.093715E-01,9.131610E-02,7.535236E-02,6.139250E-02,4.933367E-02,3.906022E-02,3.044313E-02,2.333905E-02,1.759085E-02,1.303091E-02,9.486979E-03,6.789415E-03,4.778414E-03,3.309774E-03,2.258552E-03,1.520489E-03,1.011597E-03,6.664288E-04,4.355919E-04,2.829465E-04,1.828231E-04,1.174864E-04,7.497788E-05,4.738745E-05,2.954651E-05,1.809116E-05,1.082361E-05,6.295010E-06,3.541143E-06,1.917393E-06,9.947775E-07,4.924411E-07,2.316776E-07,1.032010E-07,4.336580E-08,1.712533E-08,6.330648E-09
-92.75000,49.78000,4.588969E-01,4.276694E-01,3.947692E-01,3.607479E-01,3.261534E-01,2.915370E-01,2.574595E-01,2.244833E-01,1.931484E-01,1.639368E-01,1.372367E-01,1.133144E-01,9.230174E-02,7.419921E-02,5.889274E-02,4.617963E-02,3.579767E-02,2.745308E-02,2.084445E-02,1.568142E-02,1.169769E-02,8.658525E-03,6.363707E-03,4.646944E-03,3.373108E-03,2.434437E-03,1.746529E-03,1.244475E-03,8.792578E-04,6.144435E-04,4.232785E-04,2.862744E-04,1.892582E-04,1.218139E-04,7.610003E-05,4.606118E-05,2.699028E-05,1.530506E-05,8.392821E-06,4.443523E-06,2.054080E-01,1.773271E-01,1.515922E-01,1.282739E-01,1.073701E-01,8.882909E-02,7.256633E-02,5.847514E-02,4.643111E-02,3.629287E-02,2.790191E-02,2.108349E-02,1.565032E-02,1.140870E-02,8.166370E-03,5.740467E-03,3.964153E-03,2.691161E-03,1.797985E-03,1.183995E-03,7.699717E-04,4.956003E-04,3.164451E-04,2.008055E-04,1.267555E-04,7.955918E-05,4.955509E-05,3.052559E-05,1.851095E-05,1.099241E-05,6.356977E-06,3.560569E-06,1.921463E-06,9.942240E-07,4.910696E-07,2.305796E-07,1.025243E-07,4.300350E-08,1.695019E-08,6.252977E-09
-91.98000,50.07000,4.713305E-01,4.394630E-01,4.058889E-01,3.711724E-01,3.358583E-01,3.004816E-01,2.655846E-01,2.317231E-01,1.994518E-01,1.692876E-01,1.416637E-01,1.168887E-01,9.512312E-02,7.638016E-02,6.054470E-02,4.740467E-02,3.668513E-02,2.807925E-02,2.127348E-02,1.596623E-02,1.188070E-02,8.772410E-03,6.432493E-03,4.687450E-03,3.396569E-03,2.448041E-03,1.754666E-03,1.249667E-03,8.828182E-04,6.169680E-04,4.250150E-04,2.873700E-04,1.898695E-04,1.221105E-04,7.622581E-05,4.610964E-05,2.700841E-05,1.531167E-05,8.394547E-06,4.443072E-06,2.121392E-01,1.832121E-01,1.566773E-01,1.326149E-01,1.110293E-01,9.187231E-02,7.506113E-02,6.048910E-02,4.803029E-02,3.754048E-02,2.885702E-02,2.180006E-02,1.617644E-02,1.178618E-02,8.430625E-03,5.920688E-03,4.083714E-03,2.768201E-03,1.846127E-03,1.213124E-03,7.870079E-04,5.052147E-04,3.216734E-04,2.035432E-04,1.281370E-04,8.023296E-05,4.987443E-05,3.067373E-05,1.857860E-05,1.102279E-05,6.370187E-06,3.565936E-06,1.923356E-06,9.946953E-07,4.910502E-07,2.304522E-07,1.024157E-07,4.293659E-08,1.691549E-08,6.237055E-09
-91.62000,48.75000,4.242859E-01,3.934288E-01,3.613545E-01,3.286782E-01,2.959523E-01,2.636680E-01,2.322715E-01,2.021816E-01,1.737930E-01,1.474632E-01,1.234854E-01,1.020603E-01,8.327823E-02,6.711680E-02,5.345519E-02,4.209797E-02,3.280263E-02,2.530464E-02,1.933770E-02,1.464840E-02,1.100567E-02,8.206004E-03,6.075193E-03,4.467699E-03,3.264417E-03,2.369680E-03,1.708031E-03,1.221032E-03,8.641907E-04,6.040754E-04,4.157769E-04,2.808032E-04,1.854084E-04,1.192849E-04,7.458129E-05,4.523850E-05,2.659254E-05,1.513592E-05,8.331589E-06,4.426500E-06,1.884736E-01,1.624726E-01,1.387050E-01,1.172163E-01,9.798978E-02,8.096635E-02,6.605998E-02,5.316610E-02,4.216506E-02,3.292218E-02,2.528729E-02,1.909567E-02,1.417150E-02,1.033393E-02,7.404521E-03,5.214606E-03,3.611303E-03,2.461410E-03,1.653090E-03,1.095667E-03,7.180349E-04,4.662056E-04,3.004649E-04,1.924765E-04,1.226012E-04,7.758001E-05,4.865687E-05,3.013920E-05,1.835514E-05,1.093509E-05,6.339129E-06,3.557145E-06,1.922454E-06,9.959766E-07,4.924806E-07,2.314813E-07,1.030287E-07,4.325913E-08,1.706925E-08,6.304284E-09
-91.13000,49.25000,4.487655E-01,4.174911E-01,3.847322E-01,3.510626E-01,3.170274E-01,2.831505E-01,2.499462E-01,2.179209E-01,1.875579E-01,1.592891E-01,1.334638E-01,1.103223E-01,8.998304E-02,7.244349E-02,5.759449E-02,4.524308E-02,3.513936E-02,2.700279E-02,2.054511E-02,1.548823E-02,1.157674E-02,8.585116E-03,6.320525E-03,4.622311E-03,3.359450E-03,2.427040E-03,1.742583E-03,1.242380E-03,8.781453E-04,6.138560E-04,4.229770E-04,2.861295E-04,1.891961E-04,1.217920E-04,7.609489E-05,4.606154E-05,2.699161E-05,1.530605E-05,8.393339E-06,4.443729E-06,2.008255E-01,1.733041E-01,1.480972E-01,1.252697E-01,1.048161E-01,8.668327E-02,7.078672E-02,5.702047E-02,4.526121E-02,3.536901E-02,2.718700E-02,2.054254E-02,1.525085E-02,1.112135E-02,7.965396E-03,5.604030E-03,3.874409E-03,2.634077E-03,1.762949E-03,1.163297E-03,7.582323E-04,4.892252E-04,3.131386E-04,1.991707E-04,1.259857E-04,7.921353E-05,4.940642E-05,3.046371E-05,1.848556E-05,1.098187E-05,6.352428E-06,3.558499E-06,1.920479E-06,9.937481E-07,4.908421E-07,2.304747E-07,1.024782E-07,4.298442E-08,1.694277E-08,6.250256E-09
-90.57000,49.25000,4.524486E-01,4.204898E-01,3.869581E-01,3.524646E-01,3.176064E-01,2.829668E-01,2.491159E-01,2.166013E-01,1.859253E-01,1.575144E-01,1.316919E-01,1.086608E-01,8.849980E-02,7.117205E-02,5.654238E-02,4.440048E-02,3.448591E-02,2.651249E-02,2.018966E-02,1.523958E-02,1.140903E-02,8.476052E-03,6.252086E-03,4.580845E-03,3.335229E-03,2.413513E-03,1.735531E-03,1.239161E-03,8.771019E-04,6.139406E-04,4.235316E-04,2.867698E-04,1.897350E-04,1.221728E-04,7.633121E-05,4.619257E-05,2.705661E-05,1.533445E-05,8.403719E-06,4.446377E-06,2.022557E-01,1.745237E-01,1.491265E-01,1.261258E-01,1.055151E-01,8.724075E-02,7.121850E-02,5.734299E-02,4.549144E-02,3.552403E-02,2.728339E-02,2.059567E-02,1.527425E-02,1.112613E-02,7.960041E-03,5.594453E-03,3.864268E-03,2.625268E-03,1.756164E-03,1.158517E-03,7.551079E-04,4.873189E-04,3.120527E-04,1.985965E-04,1.257076E-04,7.909366E-05,4.936315E-05,3.045292E-05,1.848579E-05,1.098417E-05,6.353949E-06,3.558929E-06,1.920252E-06,9.933062E-07,4.904385E-07,2.301938E-07,1.023131E-07,4.289905E-08,1.690302E-08,6.233400E-09
