# mean, investigation_time=50.0
lon,lat,0.02~PGA,0.02~SA(2.0),0.1~PGA,0.1~SA(2.0)
-97.15000,49.89000,3.257004E-02,9.015213E-03,8.539729E-03,2.175767E-03
-94.43000,49.82000,4.006705E-02,9.990302E-03,1.034499E-02,2.378879E-03
-93.82000,51.05000,4.388756E-02,1.075885E-02,1.098865E-02,2.648362E-03
-93.55000,49.80000,4.568077E-02,1.054244E-02,1.124031E-02,2.478870E-03
-93.39000,48.61000,4.168759E-02,9.419736E-03,9.534137E-03,2.103481E-03
-92.75000,49.78000,4.741433E-02,1.077252E-02,1.181008E-02,2.535647E-03
-91.98000,50.07000,4.812331E-02,1.103174E-02,1.218751E-02,2.633075E-03
-91.62000,48.75000,4.476347E-02,1.001725E-02,1.059808E-02,2.285458E-03
-91.13000,49.25000,4.691152E-02,1.057462E-02,1.149447E-02,2.467821E-03
-90.57000,49.25000,4.630079E-02,1.059337E-02,1.130696E-02,2.486070E-03
-90.00000,53.83000,3.285192E-02,9.810889E-03,8.921334E-03,2.574843E-03
-89.93000,48.83000,4.341162E-02,1.035018E-02,1.038215E-02,2.434247E-03
-89.32000,48.40000,3.799385E-02,1.005002E-02,9.357285E-03,2.401134E-03
-89.03000,50.30000,3.954773E-02,1.112433E-02,1.072303E-02,2.870060E-03
-88.53000,48.78000,3.558091E-02,1.052836E-02,9.597004E-03,2.640741E-03
-87.88000,52.23000,3.413618E-02,1.092113E-02,9.552989E-03,2.983253E-03
-87.52000,49.68000,3.443513E-02,1.123168E-02,9.737462E-03,2.963594E-03
-87.25000,48.80000,3.386109E-02,1.115462E-02,9.413705E-03,2.861085E-03
-86.95000,49.73000,3.416825E-02,1.152150E-02,9.720175E-03,3.067422E-03
-86.70000,50.17000,3.417949E-02,1.165667E-02,9.782541E-03,3.149566E-03
-85.28000,48.60000,3.639904E-02,1.564362E-02,1.104022E-02,4.435159E-03
-85.22000,50.02000,3.638568E-02,1.437311E-02,1.094778E-02,4.045214E-03
-84.78000,47.98000,3.752825E-02,1.708707E-02,1.160770E-02,4.862465E-03
-84.78000,49.22000,3.830445E-02,1.630485E-02,1.182727E-02,4.683308E-03
-84.33000,46.52000,3.792259E-02,1.953628E-02,1.200650E-02,5.879401E-03
-83.67000,49.68000,4.588727E-02,1.843647E-02,1.447772E-02,5.370230E-03
-83.40000,47.83000,4.426942E-02,2.173711E-02,1.465183E-02,6.521821E-03
-83.02000,42.30000,6.555927E-02,2.405505E-02,2.178483E-02,6.937654E-03
-82.65700,46.38100,4.732351E-02,2.617122E-02,1.630521E-02,8.356795E-03
-82.57000,42.08000,7.884602E-02,2.575724E-02,2.584081E-02,7.380662E-03
-82.47000,45.92000,4.678794E-02,2.707009E-02,1.645306E-02,8.789381E-03
-82.43000,42.88000,5.815957E-02,2.576051E-02,1.997956E-02,7.968477E-03
-82.43000,49.42000,7.579251E-02,2.361801E-02,2.256025E-02,6.884498E-03
-82.43000,52.93000,4.738579E-02,1.291092E-02,1.311602E-02,3.427991E-03
-82.38000,42.60000,6.696094E-02,2.623767E-02,2.227887E-02,7.950906E-03
-82.38000,42.97000,5.683290E-02,2.593455E-02,1.964988E-02,8.100618E-03
-82.18000,42.40000,7.778692E-02,2.725907E-02,2.541425E-02,8.200814E-03
-82.18000,42.58000,7.150168E-02,2.711460E-02,2.360071E-02,8.282199E-03
-82.15000,42.87000,6.256730E-02,2.698336E-02,2.132568E-02,8.464755E-03
-82.12000,42.95000,6.086610E-02,2.706773E-02,2.092215E-02,8.554141E-03
-82.00000,43.10000,5.901991E-02,2.754883E-02,2.055917E-02,8.836942E-03
-81.88000,42.95000,6.464566E-02,2.815025E-02,2.210857E-02,8.972826E-03
