ordinal,uid,model,gsim,weight
0,b1~b11,SE_CANADA_H2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_01.vs450.hdf5'),0.03028
1,b1~b110,SE_CANADA_H2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_10.vs450.hdf5'),0.00688
2,b1~b111,SE_CANADA_H2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_11.vs450.hdf5'),0.01478
3,b1~b112,SE_CANADA_H2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_12.vs450.hdf5'),0.01056
4,b1~b113,SE_CANADA_H2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_13.vs450.hdf5'),0.00736
5,b1~b114,SE_CANADA_H2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_high_clC.hdf5'),0.06
6,b1~b115,SE_CANADA_H2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_med_clC.hdf5'),0.1
7,b1~b116,SE_CANADA_H2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_low_clC.hdf5'),0.04
8,b1~b12,SE_CANADA_H2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_02.vs450.hdf5'),0.02584
9,b1~b13,SE_CANADA_H2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_03.vs450.hdf5'),0.02204
10,b1~b14,SE_CANADA_H2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_04.vs450.hdf5'),0.00972
11,b1~b15,SE_CANADA_H2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_05.vs450.hdf5'),0.01108
12,b1~b16,SE_CANADA_H2_collapsed_rates_FF20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/ngae_usgs_hdf5_tables/NGA-East_Model_06.vs450.hdf5'),0.01956
