# mean, investigation_time=50.0
lon,lat,SA(0.1)-0.001,SA(0.1)-0.00123697383288,SA(0.1)-0.00153010426322,SA(0.1)-0.00189269893518,SA(0.1)-0.00234121905633,SA(0.1)-0.00289602670972,SA(0.1)-0.00358230925923,SA(0.1)-0.00443122281494,SA(0.1)-0.00548130666973,SA(0.1)-0.00678023292043,SA(0.1)-0.00838697070339,SA(0.1)-0.0103744632972,SA(0.1)-0.0128329396288,SA(0.1)-0.0158740105197,SA(0.1)-0.0196357356357,SA(0.1)-0.0242888911706,SA(0.1)-0.0300447228076,SA(0.1)-0.0371645359291,SA(0.1)-0.0459715584553,SA(0.1)-0.0568656148658,SA(0.1)-0.0703412775794,SA(0.1)-0.0870103197369,SA(0.1)-0.107629488705,SA(0.1)-0.133134861174,SA(0.1)-0.164684339516,SA(0.1)-0.203710218666,SA(0.1)-0.251984209979,SA(0.1)-0.311697874042,SA(0.1)-0.385562113954,SA(0.1)-0.476930245909,SA(0.1)-0.589950234297,SA(0.1)-0.729753002526,SA(0.1)-0.902685368588,SA(0.1)-1.11659818026,SA(0.1)-1.38120273082,SA(0.1)-1.70851163593,SA(0.1)-2.11338418681,SA(0.1)-2.6142009379,SA(0.1)-3.23369815406,SA(0.1)-4.0,SA(2.0)-0.001,SA(2.0)-0.00123697383288,SA(2.0)-0.00153010426322,SA(2.0)-0.00189269893518,SA(2.0)-0.00234121905633,SA(2.0)-0.00289602670972,SA(2.0)-0.00358230925923,SA(2.0)-0.00443122281494,SA(2.0)-0.00548130666973,SA(2.0)-0.00678023292043,SA(2.0)-0.00838697070339,SA(2.0)-0.0103744632972,SA(2.0)-0.0128329396288,SA(2.0)-0.0158740105197,SA(2.0)-0.0196357356357,SA(2.0)-0.0242888911706,SA(2.0)-0.0300447228076,SA(2.0)-0.0371645359291,SA(2.0)-0.0459715584553,SA(2.0)-0.0568656148658,SA(2.0)-0.0703412775794,SA(2.0)-0.0870103197369,SA(2.0)-0.107629488705,SA(2.0)-0.133134861174,SA(2.0)-0.164684339516,SA(2.0)-0.203710218666,SA(2.0)-0.251984209979,SA(2.0)-0.311697874042,SA(2.0)-0.385562113954,SA(2.0)-0.476930245909,SA(2.0)-0.589950234297,SA(2.0)-0.729753002526,SA(2.0)-0.902685368588,SA(2.0)-1.11659818026,SA(2.0)-1.38120273082,SA(2.0)-1.70851163593,SA(2.0)-2.11338418681,SA(2.0)-2.6142009379,SA(2.0)-3.23369815406,SA(2.0)-4.0
-97.15000,49.89000,5.333708E-01,5.099968E-01,4.829094E-01,4.525541E-01,4.195291E-01,3.845246E-01,3.482776E-01,3.115442E-01,2.750828E-01,2.396334E-01,2.058860E-01,1.744376E-01,1.457490E-01,1.201172E-01,9.766913E-02,7.837891E-02,6.209909E-02,4.859544E-02,3.757920E-02,2.873414E-02,2.173845E-02,1.628237E-02,1.208122E-02,8.883828E-03,6.476142E-03,4.680955E-03,3.354906E-03,2.384117E-03,1.679511E-03,1.172372E-03,8.103914E-04,5.542366E-04,3.746433E-04,2.500173E-04,1.645279E-04,1.066384E-04,6.799765E-05,4.260899E-05,2.620989E-05,1.580833E-05,1.811406E-01,1.551359E-01,1.315451E-01,1.103600E-01,9.152270E-02,7.494529E-02,6.052280E-02,4.813842E-02,3.766347E-02,2.895469E-02,2.185192E-02,1.617857E-02,1.174591E-02,8.360729E-03,5.834635E-03,3.992799E-03,2.680477E-03,1.766555E-03,1.144249E-03,7.296866E-04,4.591969E-04,2.860119E-04,1.768882E-04,1.089570E-04,6.698314E-05,4.111954E-05,2.516800E-05,1.530557E-05,9.201370E-06,5.435623E-06,3.135312E-06,1.754806E-06,9.473941E-07,4.907065E-07,2.426277E-07,1.139978E-07,5.067903E-08,2.123002E-08,8.346595E-09,3.067119E-09
-94.43000,49.82000,5.422601E-01,5.210758E-01,4.964759E-01,4.687981E-01,4.384952E-01,4.060876E-01,3.721340E-01,3.372226E-01,3.019721E-01,2.670282E-01,2.330454E-01,2.006489E-01,1.703875E-01,1.426918E-01,1.178488E-01,9.599734E-02,7.714083E-02,6.116897E-02,4.788354E-02,3.702457E-02,2.829582E-02,2.138822E-02,1.599996E-02,1.185179E-02,8.696535E-03,6.323304E-03,4.557206E-03,3.256343E-03,2.307497E-03,1.621649E-03,1.129881E-03,7.797750E-04,5.322130E-04,3.584892E-04,2.377629E-04,1.549405E-04,9.904429E-05,6.204503E-05,3.807196E-05,2.287864E-05,1.922819E-01,1.654242E-01,1.409458E-01,1.188698E-01,9.915911E-02,8.173852E-02,6.650968E-02,5.335908E-02,4.216031E-02,3.277302E-02,2.504138E-02,1.879424E-02,1.384848E-02,1.001528E-02,7.108212E-03,4.951349E-03,3.385874E-03,2.274230E-03,1.501763E-03,9.762367E-04,6.258970E-04,3.966960E-04,2.492021E-04,1.555464E-04,9.663913E-05,5.979127E-05,3.679363E-05,2.245083E-05,1.352162E-05,7.993393E-06,4.610045E-06,2.578154E-06,1.390020E-06,7.186339E-07,3.545142E-07,1.661276E-07,7.363917E-08,3.075327E-08,1.205244E-08,4.414872E-09
-93.82000,51.05000,5.853795E-01,5.626094E-01,5.359294E-01,5.056741E-01,4.723517E-01,4.365951E-01,3.991168E-01,3.606744E-01,3.220448E-01,2.840002E-01,2.472768E-01,2.125356E-01,1.803214E-01,1.510305E-01,1.248979E-01,1.020044E-01,8.229757E-02,6.561897E-02,5.173207E-02,4.034880E-02,3.115414E-02,2.382805E-02,1.806352E-02,1.357942E-02,1.012800E-02,7.497572E-03,5.511554E-03,4.025400E-03,2.922442E-03,2.109632E-03,1.513735E-03,1.078171E-03,7.603072E-04,5.288838E-04,3.614237E-04,2.417460E-04,1.578739E-04,1.005706E-04,6.252214E-05,3.797364E-05,2.108378E-01,1.816690E-01,1.550043E-01,1.308879E-01,1.092997E-01,9.017725E-02,7.343086E-02,5.895108E-02,4.661054E-02,3.626255E-02,2.773961E-02,2.085440E-02,1.540438E-02,1.117985E-02,7.973785E-03,5.591318E-03,3.857225E-03,2.620387E-03,1.755341E-03,1.161477E-03,7.606954E-04,4.942348E-04,3.192099E-04,2.052425E-04,1.314192E-04,8.371085E-05,5.290630E-05,3.304669E-05,2.030092E-05,1.219843E-05,7.129330E-06,4.030380E-06,2.192357E-06,1.141875E-06,5.669039E-07,2.671590E-07,1.190391E-07,4.995869E-08,1.967339E-08,7.240850E-09
-93.55000,49.80000,5.454233E-01,5.244719E-01,5.002435E-01,4.730881E-01,4.434483E-01,4.118103E-01,3.786792E-01,3.445792E-01,3.100644E-01,2.757240E-01,2.421678E-01,2.099922E-01,1.797338E-01,1.518266E-01,1.265760E-01,1.041518E-01,8.459698E-02,6.784574E-02,5.374436E-02,4.207340E-02,3.256989E-02,2.494901E-02,1.892399E-02,1.422219E-02,1.059639E-02,7.830909E-03,5.743273E-03,4.182674E-03,3.026630E-03,2.177011E-03,1.556311E-03,1.104489E-03,7.762332E-04,5.383149E-04,3.668798E-04,2.448216E-04,1.595581E-04,1.014642E-04,6.298065E-05,3.820080E-05,1.974563E-01,1.702796E-01,1.454452E-01,1.229928E-01,1.028993E-01,8.510026E-02,6.950475E-02,5.600405E-02,4.447448E-02,3.477721E-02,2.675734E-02,2.024466E-02,1.505710E-02,1.100693E-02,7.908618E-03,5.586565E-03,3.881461E-03,2.654388E-03,1.788574E-03,1.189150E-03,7.814832E-04,5.086528E-04,3.285454E-04,2.109172E-04,1.346663E-04,8.546125E-05,5.379420E-05,3.346878E-05,2.048726E-05,1.227341E-05,7.155689E-06,4.037587E-06,2.193115E-06,1.141070E-06,5.660907E-07,2.666499E-07,1.187800E-07,4.984359E-08,1.962734E-08,7.223950E-09
-93.39000,48.61000,4.921780E-01,4.709811E-01,4.466939E-01,4.197910E-01,3.908491E-01,3.604771E-01,3.292688E-01,2.977811E-01,2.665305E-01,2.359985E-01,2.066319E-01,1.788341E-01,1.529483E-01,1.292405E-01,1.078866E-01,8.897080E-02,7.249010E-02,5.836527E-02,4.645431E-02,3.656763E-02,2.848445E-02,2.196922E-02,1.678676E-02,1.271444E-02,9.550397E-03,7.117695E-03,5.265319E-03,3.867123E-03,2.819786E-03,2.040369E-03,1.463646E-03,1.039289E-03,7.290443E-04,5.040902E-04,3.427652E-04,2.287265E-04,1.495474E-04,9.571156E-05,5.993514E-05,3.671373E-05,1.724831E-01,1.484502E-01,1.265683E-01,1.068466E-01,8.924500E-02,7.369138E-02,6.009446E-02,4.835008E-02,3.834289E-02,2.994542E-02,2.301691E-02,1.740380E-02,1.294289E-02,9.467035E-03,6.812192E-03,4.824274E-03,3.364551E-03,2.312935E-03,1.569145E-03,1.052161E-03,6.985273E-04,4.600008E-04,3.009547E-04,1.958122E-04,1.266990E-04,8.142415E-05,5.183917E-05,3.257292E-05,2.010660E-05,1.213006E-05,7.113658E-06,4.033719E-06,2.200225E-06,1.148898E-06,5.717531E-07,2.700561E-07,1.205965E-07,5.072607E-08,2.002323E-08,7.389140E-09
-92.75000,49.78000,5.488148E-01,5.278245E-01,5.036343E-01,4.766251E-01,4.472585E-01,4.160187E-01,3.833829E-01,3.498235E-01,3.158270E-01,2.819118E-01,2.486269E-01,2.165267E-01,1.861311E-01,1.578843E-01,1.321248E-01,1.090714E-01,8.882304E-02,7.136743E-02,5.659511E-02,4.431800E-02,3.429114E-02,2.623614E-02,1.986386E-02,1.489345E-02,1.106630E-02,8.154046E-03,5.961776E-03,4.327540E-03,3.119798E-03,2.233825E-03,1.587812E-03,1.119065E-03,7.804495E-04,5.371434E-04,3.637186E-04,2.416191E-04,1.571336E-04,9.993374E-05,6.214428E-05,3.779854E-05,2.008195E-01,1.733083E-01,1.481424E-01,1.253716E-01,1.049794E-01,8.690445E-02,7.105689E-02,5.732749E-02,4.559142E-02,3.570853E-02,2.752280E-02,2.086318E-02,1.554712E-02,1.138653E-02,8.195404E-03,5.797357E-03,4.031853E-03,2.758311E-03,1.857969E-03,1.233817E-03,8.091205E-04,5.250418E-04,3.378309E-04,2.159297E-04,1.372405E-04,8.672116E-05,5.438702E-05,3.374292E-05,2.061702E-05,1.233946E-05,7.192711E-06,4.059797E-06,2.206609E-06,1.148994E-06,5.704689E-07,2.688991E-07,1.198511E-07,5.031719E-08,1.982264E-08,7.299391E-09
-91.98000,50.07000,5.629885E-01,5.416443E-01,5.170000E-01,4.894443E-01,4.594602E-01,4.275592E-01,3.942413E-01,3.599857E-01,3.252687E-01,2.905883E-01,2.564780E-01,2.234948E-01,1.921817E-01,1.630204E-01,1.363887E-01,1.125369E-01,9.158254E-02,7.352015E-02,5.823931E-02,4.554645E-02,3.518864E-02,2.687782E-02,2.031369E-02,1.520347E-02,1.127684E-02,8.295124E-03,6.055067E-03,4.388482E-03,3.159272E-03,2.259339E-03,1.604342E-03,1.129744E-03,7.872064E-04,5.412233E-04,3.660145E-04,2.428089E-04,1.577067E-04,1.002003E-04,6.227109E-05,3.786221E-05,2.074166E-01,1.790714E-01,1.531197E-01,1.296198E-01,1.085605E-01,8.988374E-02,7.350089E-02,5.930244E-02,4.716190E-02,3.693613E-02,2.846500E-02,2.157241E-02,1.607002E-02,1.176364E-02,8.461077E-03,5.979931E-03,4.154074E-03,2.837899E-03,1.908306E-03,1.264686E-03,8.274393E-04,5.355394E-04,3.436280E-04,2.190099E-04,1.388145E-04,8.749569E-05,5.475534E-05,3.391310E-05,2.069378E-05,1.237324E-05,7.207013E-06,4.065419E-06,2.208496E-06,1.149404E-06,5.703931E-07,2.687331E-07,1.197196E-07,5.023805E-08,1.978197E-08,7.280796E-09
-91.62000,48.75000,5.149355E-01,4.935215E-01,4.689710E-01,4.417591E-01,4.124614E-01,3.816783E-01,3.499815E-01,3.178900E-01,2.858731E-01,2.543698E-01,2.238058E-01,1.945954E-01,1.671259E-01,1.417303E-01,1.186607E-01,9.807244E-02,8.002060E-02,6.446748E-02,5.129655E-02,4.032983E-02,3.134665E-02,2.410229E-02,1.834532E-02,1.383213E-02,1.033787E-02,7.663132E-03,5.636767E-03,4.115781E-03,2.983419E-03,2.146320E-03,1.531292E-03,1.081991E-03,7.557338E-04,5.205753E-04,3.527678E-04,2.346383E-04,1.529227E-04,9.756286E-05,6.090838E-05,3.720438E-05,1.841915E-01,1.587353E-01,1.355063E-01,1.145323E-01,9.578378E-02,7.919401E-02,6.467251E-02,5.211291E-02,4.139555E-02,3.238720E-02,2.494029E-02,1.889372E-02,1.407625E-02,1.031236E-02,7.429436E-03,5.264838E-03,3.671466E-03,2.521297E-03,1.706774E-03,1.140459E-03,7.534461E-04,4.930504E-04,3.201596E-04,2.065678E-04,1.324944E-04,8.442418E-05,5.332904E-05,3.328154E-05,2.042850E-05,1.226902E-05,7.170142E-06,4.054962E-06,2.207353E-06,1.150835E-06,5.720170E-07,2.699070E-07,1.204218E-07,5.060910E-08,1.995957E-08,7.358711E-09
-91.13000,49.25000,5.396621E-01,5.183116E-01,4.937732E-01,4.664760E-01,4.369357E-01,4.056867E-01,3.732422E-01,3.400877E-01,3.066983E-01,2.735583E-01,2.411676E-01,2.100260E-01,1.805996E-01,1.532862E-01,1.283887E-01,1.061025E-01,8.651464E-02,6.961070E-02,5.528611E-02,4.336250E-02,3.360735E-02,2.575593E-02,1.953252E-02,1.466867E-02,1.091628E-02,8.055567E-03,5.898209E-03,4.287205E-03,3.094641E-03,2.218405E-03,1.578538E-03,1.113614E-03,7.773386E-04,5.354348E-04,3.628239E-04,2.411767E-04,1.569295E-04,9.984739E-05,6.211196E-05,3.778884E-05,1.963147E-01,1.693567E-01,1.447113E-01,1.224231E-01,1.024726E-01,8.479771E-02,6.930867E-02,5.589717E-02,4.443962E-02,3.479736E-02,2.681606E-02,2.032676E-02,1.514942E-02,1.109901E-02,7.993029E-03,5.658892E-03,3.939913E-03,2.699177E-03,1.821208E-03,1.211786E-03,7.964279E-04,5.180327E-04,3.341318E-04,2.140685E-04,1.363492E-04,8.631477E-05,5.421010E-05,3.366880E-05,2.058667E-05,1.232703E-05,7.187463E-06,4.057471E-06,2.205526E-06,1.148478E-06,5.702235E-07,2.687860E-07,1.198012E-07,5.029646E-08,1.981452E-08,7.296398E-09
-90.57000,49.25000,5.449237E-01,5.232844E-01,4.983632E-01,4.705753E-01,4.404311E-01,4.084731E-01,3.752396E-01,3.412589E-01,3.070613E-01,2.731904E-01,2.401978E-01,2.086171E-01,1.789251E-01,1.515072E-01,1.266377E-01,1.044757E-01,8.507209E-02,6.838142E-02,5.427533E-02,4.255851E-02,3.298757E-02,2.529194E-02,1.919432E-02,1.442785E-02,1.074818E-02,7.940189E-03,5.820260E-03,4.235495E-03,3.061198E-03,2.197577E-03,1.566256E-03,1.106900E-03,7.740330E-04,5.340399E-04,3.623840E-04,2.411437E-04,1.570270E-04,9.995729E-05,6.219564E-05,3.784187E-05,1.977061E-01,1.705444E-01,1.457143E-01,1.232579E-01,1.031546E-01,8.534206E-02,6.973082E-02,5.621313E-02,4.466586E-02,3.495042E-02,2.691201E-02,2.038046E-02,1.517392E-02,1.110507E-02,7.988865E-03,5.650267E-03,3.930432E-03,2.690756E-03,1.814596E-03,1.207037E-03,7.932571E-04,5.160519E-04,3.329728E-04,2.134362E-04,1.360310E-04,8.617000E-05,5.415278E-05,3.365070E-05,2.058334E-05,1.232765E-05,7.188189E-06,4.057501E-06,2.205081E-06,1.147910E-06,5.697457E-07,2.684627E-07,1.196132E-07,5.019945E-08,1.976928E-08,7.277143E-09
