# mean, investigation_time=50.0
lon,lat,0.02~SA(2.0),0.02~SA(5.0),0.1~SA(2.0),0.1~SA(5.0)
-97.15000,49.89000,8.795403E-03,1.734426E-03,2.091382E-03,0.000000E+00
-94.43000,49.82000,9.755360E-03,1.915369E-03,2.289597E-03,0.000000E+00
-93.82000,51.05000,1.052813E-02,2.076782E-03,2.550678E-03,0.000000E+00
-93.55000,49.80000,1.030925E-02,2.012213E-03,2.389072E-03,0.000000E+00
-93.39000,48.61000,9.193104E-03,1.774163E-03,2.023775E-03,0.000000E+00
-92.75000,49.78000,1.054005E-02,2.056164E-03,2.443683E-03,0.000000E+00
-91.98000,50.07000,1.079670E-02,2.112850E-03,2.537097E-03,0.000000E+00
-91.62000,48.75000,9.781088E-03,1.895799E-03,2.198097E-03,0.000000E+00
-91.13000,49.25000,1.034232E-02,2.014425E-03,2.378426E-03,0.000000E+00
-90.57000,49.25000,1.036242E-02,2.025640E-03,2.395750E-03,0.000000E+00
-90.00000,53.83000,9.578988E-03,1.930672E-03,2.477080E-03,0.000000E+00
-89.93000,48.83000,1.010987E-02,1.994625E-03,2.345185E-03,0.000000E+00
-89.32000,48.40000,9.814628E-03,1.966898E-03,2.310157E-03,0.000000E+00
-89.03000,50.30000,1.089229E-02,2.220786E-03,2.761061E-03,0.000000E+00
-88.53000,48.78000,1.029732E-02,2.108032E-03,2.540927E-03,0.000000E+00
-87.88000,52.23000,1.069238E-02,2.209673E-03,2.873127E-03,5.096446E-04
-87.52000,49.68000,1.100133E-02,2.292809E-03,2.854240E-03,5.037463E-04
-87.25000,48.80000,1.092489E-02,2.291031E-03,2.751532E-03,0.000000E+00
-86.95000,49.73000,1.128996E-02,2.373584E-03,2.956578E-03,5.255297E-04
-86.70000,50.17000,1.142464E-02,2.405567E-03,3.035244E-03,5.425021E-04
-85.28000,48.60000,1.543522E-02,3.571823E-03,4.280516E-03,8.278219E-04
-85.22000,50.02000,1.415584E-02,3.179875E-03,3.904803E-03,7.372365E-04
-84.78000,47.98000,1.690631E-02,4.011774E-03,4.705300E-03,9.263926E-04
-84.78000,49.22000,1.611313E-02,3.732779E-03,4.531551E-03,8.805029E-04
-84.33000,46.52000,1.940107E-02,4.781054E-03,5.702439E-03,1.179723E-03
-83.67000,49.68000,1.826433E-02,4.283914E-03,5.196673E-03,1.025958E-03
-83.40000,47.83000,2.164541E-02,5.326253E-03,6.329261E-03,1.305276E-03
-83.02000,42.30000,2.396485E-02,5.619889E-03,6.750594E-03,1.335010E-03
-82.65700,46.38100,2.622972E-02,6.699005E-03,8.136282E-03,1.765571E-03
-82.57000,42.08000,2.569633E-02,6.020226E-03,7.185080E-03,1.420154E-03
-82.47000,45.92000,2.716911E-02,6.984811E-03,8.577469E-03,1.884370E-03
-82.43000,42.88000,2.576931E-02,6.361759E-03,7.758699E-03,1.633077E-03
-82.43000,49.42000,2.352882E-02,5.597979E-03,6.689617E-03,1.343895E-03
-82.43000,52.93000,1.266956E-02,2.621833E-03,3.304891E-03,5.831397E-04
-82.38000,42.60000,2.623876E-02,6.389891E-03,7.741305E-03,1.606930E-03
-82.38000,42.97000,2.595431E-02,6.437904E-03,7.887504E-03,1.669975E-03
-82.18000,42.40000,2.727119E-02,6.592607E-03,7.984861E-03,1.647039E-03
-82.18000,42.58000,2.713922E-02,6.624101E-03,8.064401E-03,1.681688E-03
-82.15000,42.87000,2.702965E-02,6.700724E-03,8.249073E-03,1.749789E-03
-82.12000,42.95000,2.712249E-02,6.750695E-03,8.343744E-03,1.778276E-03
-82.00000,43.10000,2.762834E-02,6.930004E-03,8.624427E-03,1.860259E-03
-81.88000,42.95000,2.823883E-02,7.052100E-03,8.757588E-03,1.884593E-03
-81.85000,43.15000,2.831341E-02,7.130502E-03,8.906203E-03,1.936868E-03
-81.77000,46.25000,3.116880E-02,8.056819E-03,9.826264E-03,2.177945E-03
-81.72000,42.75000,2.914802E-02,7.227202E-03,8.945132E-03,1.917159E-03
-81.72000,43.75000,2.917478E-02,7.483600E-03,9.467491E-03,2.103834E-03
-81.68000,43.15000,2.914068E-02,7.358683E-03,9.211072E-03,2.015304E-03
-81.63000,42.95000,2.947820E-02,7.387871E-03,9.205212E-03,2.000681E-03
-81.63000,44.18000,2.995396E-02,7.753448E-03,9.837546E-03,2.205359E-03
-81.63000,49.28000,3.010747E-02,7.000381E-03,8.196422E-03,1.642284E-03
-81.60000,42.60000,2.978839E-02,7.349249E-03,9.076525E-03,1.938515E-03
-81.55000,43.13000,2.981713E-02,7.540586E-03,9.448004E-03,2.072304E-03
-81.53000,43.62000,3.006611E-02,7.716919E-03,9.764630E-03,2.173400E-03
-81.50000,42.67000,3.023155E-02,7.500427E-03,9.293160E-03,2.001142E-03
-81.48000,43.35000,3.020451E-02,7.707382E-03,9.713136E-03,2.149823E-03
-81.47000,43.28000,3.023852E-02,7.701352E-03,9.692128E-03,2.141125E-03
-81.40000,43.18000,3.059951E-02,7.782124E-03,9.776606E-03,2.156541E-03
-81.40000,43.55000,3.069699E-02,7.894948E-03,9.989792E-03,2.227061E-03
-81.40000,44.43000,3.138345E-02,8.190312E-03,1.040785E-02,2.352116E-03
-81.38000,44.48000,3.154780E-02,8.239983E-03,1.046861E-02,2.369025E-03
-81.33000,48.47000,3.067998E-02,7.608423E-03,8.991939E-03,1.895093E-03
-81.32000,43.88000,3.132349E-02,8.124377E-03,1.033140E-02,2.323227E-03
-81.25000,44.98000,3.296973E-02,8.649770E-03,1.093256E-02,2.493231E-03
-81.23000,42.98000,3.154989E-02,7.993573E-03,1.001317E-02,2.202051E-03
-81.22000,42.67000,3.155875E-02,7.893600E-03,9.816803E-03,2.130746E-03
-81.20000,42.78000,3.166308E-02,7.963916E-03,9.931186E-03,2.167878E-03
-81.20000,43.47000,3.174413E-02,8.178389E-03,1.037190E-02,2.319628E-03
