# mean, investigation_time=50.0
lon,lat,0.02~PGA,0.02~SA(0.1),0.02~SA(0.2),0.02~SA(0.5),0.02~SA(1.0),0.02~SA(2.0),0.02~SA(5.0),0.02~SA(10.0),0.1~PGA,0.1~SA(0.1),0.1~SA(0.2),0.1~SA(0.5),0.1~SA(1.0),0.1~SA(2.0),0.1~SA(5.0),0.1~SA(10.0)
-132.54000,52.94000,2.139305E+00,4.000000E+00,4.000000E+00,3.939165E+00,2.318518E+00,1.203109E+00,3.095561E-01,1.108367E-01,1.250821E+00,2.373916E+00,2.779956E+00,2.262927E+00,1.272921E+00,6.096096E-01,1.569565E-01,5.296003E-02
-132.43000,53.00000,1.715129E+00,3.457708E+00,3.682684E+00,2.921913E+00,1.668502E+00,9.340829E-01,2.338507E-01,8.862038E-02,9.610876E-01,1.864378E+00,2.155995E+00,1.648997E+00,9.073398E-01,4.579960E-01,1.173300E-01,4.072245E-02
-132.20800,53.12500,1.230406E+00,2.502875E+00,2.792295E+00,2.166759E+00,1.239964E+00,7.013040E-01,1.698075E-01,6.580667E-02,6.677941E-01,1.306107E+00,1.546723E+00,1.176268E+00,6.446847E-01,3.383671E-01,8.111243E-02,2.919864E-02
-132.10000,54.02000,4.289688E-01,8.661021E-01,1.116831E+00,8.827665E-01,5.312068E-01,3.076135E-01,9.056469E-02,3.905121E-02,2.390947E-01,4.652030E-01,6.014722E-01,4.893694E-01,2.841851E-01,1.571862E-01,4.148887E-02,1.707025E-02
-132.08000,53.26000,9.559229E-01,1.932820E+00,2.287322E+00,1.784962E+00,1.041326E+00,5.893411E-01,1.482099E-01,5.756129E-02,5.202648E-01,1.014940E+00,1.232255E+00,9.665759E-01,5.396437E-01,2.895336E-01,6.857189E-02,2.509539E-02
-131.87600,53.31000,7.222413E-01,1.464949E+00,1.814099E+00,1.443252E+00,8.435000E-01,4.785118E-01,1.263561E-01,5.059765E-02,4.024849E-01,7.869061E-01,9.827623E-01,7.896924E-01,4.393884E-01,2.382936E-01,5.806227E-02,2.183729E-02
-131.82000,53.25000,7.378309E-01,1.496192E+00,1.841979E+00,1.465468E+00,8.544376E-01,4.847641E-01,1.274676E-01,5.098332E-02,4.084722E-01,7.984098E-01,9.966509E-01,7.981614E-01,4.439085E-01,2.405527E-01,5.851345E-02,2.196413E-02
-131.54400,53.49500,4.596881E-01,9.299456E-01,1.201996E+00,9.568938E-01,5.742659E-01,3.308394E-01,9.603070E-02,4.058500E-02,2.560730E-01,4.990811E-01,6.455960E-01,5.296268E-01,3.034697E-01,1.683681E-01,4.360733E-02,1.742749E-02
-131.21200,53.68000,3.487896E-01,7.070402E-01,8.879507E-01,6.862364E-01,4.194952E-01,2.468202E-01,7.778408E-02,3.468740E-02,1.852153E-01,3.590656E-01,4.624832E-01,3.802111E-01,2.227210E-01,1.266441E-01,3.508096E-02,1.473763E-02
-130.88000,53.86500,2.632148E-01,5.300733E-01,6.532716E-01,5.029279E-01,3.176568E-01,1.939051E-01,6.577109E-02,3.089053E-02,1.336565E-01,2.532600E-01,3.281365E-01,2.799588E-01,1.692852E-01,1.000786E-01,2.939730E-02,1.296706E-02
-130.54800,54.05000,1.701931E-01,3.306800E-01,4.249205E-01,3.628459E-01,2.451970E-01,1.570815E-01,5.764674E-02,2.833873E-02,9.229652E-02,1.668536E-01,2.227805E-01,2.076063E-01,1.324961E-01,8.111975E-02,2.552500E-02,1.165916E-02
-130.32000,54.32000,1.337455E-01,2.535220E-01,3.235083E-01,2.858329E-01,2.015715E-01,1.321039E-01,5.182315E-02,2.636840E-02,7.100703E-02,1.231449E-01,1.659636E-01,1.626210E-01,1.087653E-01,6.849225E-02,2.262801E-02,1.075484E-02
-130.21600,54.23500,1.336847E-01,2.535366E-01,3.234421E-01,2.855361E-01,2.014288E-01,1.322108E-01,5.201110E-02,2.640337E-02,7.086295E-02,1.230186E-01,1.657435E-01,1.622762E-01,1.086108E-01,6.855021E-02,2.263734E-02,1.069685E-02
