ordinal,uid,model,gsim,weight
0,b1~b11_b21_b31_b41_b51,2020_W_CANADA_R2_collapsed_rates_FF_20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_high_clC.hdf5') AbrahamsonEtAl2014(,0.00117188
1,b1~b11_b21_b31_b41_b52,2020_W_CANADA_R2_collapsed_rates_FF_20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_high_clC.hdf5') AbrahamsonEtAl2014(,0.00117188
2,b1~b11_b21_b31_b41_b53,2020_W_CANADA_R2_collapsed_rates_FF_20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_high_clC.hdf5') AbrahamsonEtAl2014(,0.00117188
3,b1~b11_b21_b31_b41_b54,2020_W_CANADA_R2_collapsed_rates_FF_20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_high_clC.hdf5') AbrahamsonEtAl2014(,0.00117188
4,b1~b11_b21_b31_b42_b51,2020_W_CANADA_R2_collapsed_rates_FF_20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_high_clC.hdf5') AbrahamsonEtAl2014(,0.00117188
5,b1~b11_b21_b31_b42_b52,2020_W_CANADA_R2_collapsed_rates_FF_20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_high_clC.hdf5') AbrahamsonEtAl2014(,0.00117188
6,b1~b11_b21_b31_b42_b53,2020_W_CANADA_R2_collapsed_rates_FF_20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_high_clC.hdf5') AbrahamsonEtAl2014(,0.00117188
7,b1~b11_b21_b31_b42_b54,2020_W_CANADA_R2_collapsed_rates_FF_20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_high_clC.hdf5') AbrahamsonEtAl2014(,0.00117188
8,b1~b11_b21_b31_b43_b51,2020_W_CANADA_R2_collapsed_rates_FF_20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_high_clC.hdf5') AbrahamsonEtAl2014(,0.00117188
9,b1~b11_b21_b31_b43_b52,2020_W_CANADA_R2_collapsed_rates_FF_20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_high_clC.hdf5') AbrahamsonEtAl2014(,0.00117188
10,b1~b11_b21_b31_b43_b53,2020_W_CANADA_R2_collapsed_rates_FF_20180628.xml,GMPETable(gmpe_table='../../../../gmm_tables/nbcc2015_tables/ENA_high_clC.hdf5') AbrahamsonEtAl2014(,0.00117188
