# mean, investigation_time=50.0, imt="SA(0.2)"
lon,lat,depth,poe-0.001,poe-0.0012369738328770429,poe-0.0015301042632225221,poe-0.0018926989351798664,poe-0.0023412190563317373,poe-0.002896026709715442,poe-0.003582309259231001,poe-0.004431222814941891,poe-0.00548130666973087,poe-0.006780232920431492,poe-0.008386970703385248,poe-0.010374463297193916,poe-0.01283293962877216,poe-0.015874010519681996,poe-0.019635735635661532,poe-0.02428889117060458,poe-0.030044722807636117,poe-0.03716453592908995,poe-0.04597155845530296,poe-0.05686561486578711,poe-0.07034127757944245,poe-0.08701031973691085,poe-0.10762948870482365,poe-0.13313486117380213,poe-0.16468433951571093,poe-0.20371021866557323,poe-0.2519842099789747,poe-0.311697874042186,poe-0.38556211395358825,poe-0.47693024590934496,poe-0.5899502342974732,poe-0.7297530025256556,poe-0.90268536858769,poe-1.1165981802639393,poe-1.3812027308246178,poe-1.7085116359283647,poe-2.1133841868093364,poe-2.614200937899276,poe-3.233698154064028,poe-3.9999999999999996
-99.95000,49.83330,0.00000,5.318953E-01,5.110162E-01,4.856740E-01,4.562018E-01,4.231993E-01,3.874533E-01,3.498557E-01,3.113372E-01,2.728261E-01,2.352213E-01,1.993673E-01,1.660170E-01,1.357835E-01,1.090898E-01,8.613557E-02,6.689499E-02,5.114891E-02,3.854187E-02,2.864615E-02,2.101706E-02,1.523164E-02,1.091099E-02,7.730012E-03,5.419160E-03,3.761251E-03,2.585616E-03,1.761035E-03,1.188542E-03,7.947924E-04,5.263200E-04,3.447534E-04,2.229550E-04,1.419756E-04,8.871430E-05,5.416850E-05,3.216590E-05,1.847616E-05,1.020475E-05,5.383754E-06,2.693210E-06
-99.46670,50.23330,0.00000,5.540886E-01,5.328335E-01,5.068594E-01,4.764394E-01,4.421453E-01,4.047817E-01,3.653068E-01,3.247547E-01,2.841716E-01,2.445663E-01,2.068675E-01,1.718819E-01,1.402478E-01,1.123927E-01,8.850629E-02,6.854291E-02,5.225677E-02,3.926168E-02,2.909806E-02,2.129119E-02,1.539221E-02,1.100164E-02,7.779146E-03,5.444541E-03,3.773592E-03,2.591118E-03,1.763112E-03,1.188974E-03,7.944585E-04,5.256510E-04,3.439779E-04,2.222105E-04,1.413455E-04,8.823616E-05,5.384091E-05,3.196238E-05,1.836104E-05,1.014523E-05,5.355469E-06,2.680750E-06
-98.29000,50.00000,0.00000,5.540273E-01,5.330821E-01,5.074276E-01,4.773059E-01,4.432600E-01,4.060751E-01,3.667022E-01,3.261799E-01,2.855657E-01,2.458818E-01,2.080695E-01,1.729459E-01,1.411587E-01,1.131447E-01,8.910304E-02,6.899693E-02,5.258760E-02,3.949274E-02,2.925311E-02,2.139142E-02,1.545473E-02,1.103919E-02,7.800743E-03,5.456326E-03,3.779625E-03,2.593996E-03,1.764412E-03,1.189575E-03,7.947954E-04,5.258964E-04,3.441757E-04,2.223597E-04,1.414422E-04,8.828634E-05,5.385791E-05,3.196053E-05,1.835138E-05,1.013438E-05,5.346448E-06,2.674344E-06
-98.10000,49.18330,0.00000,5.145974E-01,4.939899E-01,4.689807E-01,4.399312E-01,4.074886E-01,3.724980E-01,3.358998E-01,2.986397E-01,2.616099E-01,2.256247E-01,1.914163E-01,1.596281E-01,1.307906E-01,1.052834E-01,8.329818E-02,6.482509E-02,4.967259E-02,3.751494E-02,2.795159E-02,2.056142E-02,1.494204E-02,1.073253E-02,7.623233E-03,5.357048E-03,3.726178E-03,2.566519E-03,1.751158E-03,1.183834E-03,7.928520E-04,5.257439E-04,3.447494E-04,2.231103E-04,1.421101E-04,8.877859E-05,5.417327E-05,3.213834E-05,1.843926E-05,1.017161E-05,5.359143E-06,2.677088E-06
-97.15000,49.89000,0.00000,5.583395E-01,5.378878E-01,5.127730E-01,4.831864E-01,4.496040E-01,4.127393E-01,3.734835E-01,3.328439E-01,2.918848E-01,2.516699E-01,2.132027E-01,1.773657E-01,1.448618E-01,1.161665E-01,9.150301E-02,7.084844E-02,5.397129E-02,4.049177E-02,2.994853E-02,2.185765E-02,1.575575E-02,1.122643E-02,7.912892E-03,5.520830E-03,3.815005E-03,2.612237E-03,1.772984E-03,1.192961E-03,7.955750E-04,5.254942E-04,3.433515E-04,2.215017E-04,1.407291E-04,8.777445E-05,5.353413E-05,3.177994E-05,1.826366E-05,1.009845E-05,5.335119E-06,2.672547E-06
-96.99000,50.64000,0.00000,5.885878E-01,5.676500E-01,5.417079E-01,5.108739E-01,4.755866E-01,4.365808E-01,3.948315E-01,3.514770E-01,3.077334E-01,2.648077E-01,2.238182E-01,1.857248E-01,1.512724E-01,1.209498E-01,9.497148E-02,7.329015E-02,5.563895E-02,4.159648E-02,3.065826E-02,2.229981E-02,1.602272E-02,1.138243E-02,8.000926E-03,5.568698E-03,3.840049E-03,2.624892E-03,1.779289E-03,1.196249E-03,7.975695E-04,5.269881E-04,3.446263E-04,2.225952E-04,1.416027E-04,8.840354E-05,5.393684E-05,3.200709E-05,1.837525E-05,1.014519E-05,5.351028E-06,2.676422E-06
-96.86670,50.15000,0.00000,5.706792E-01,5.503006E-01,5.251637E-01,4.954094E-01,4.614703E-01,4.240341E-01,3.839924E-01,3.423812E-01,3.003177E-01,2.589322E-01,2.192959E-01,1.823496E-01,1.488379E-01,1.192613E-01,9.385256E-02,7.258689E-02,5.522351E-02,4.136867E-02,3.054472E-02,2.225070E-02,1.600677E-02,1.138157E-02,8.005606E-03,5.574383E-03,3.844977E-03,2.628692E-03,1.782181E-03,1.198580E-03,7.995886E-04,5.287882E-04,3.461899E-04,2.238726E-04,1.425698E-04,8.907980E-05,5.437462E-05,3.227024E-05,1.852230E-05,1.022134E-05,5.387248E-06,2.691942E-06
-96.68330,49.53330,0.00000,5.435848E-01,5.236312E-01,4.991746E-01,4.704332E-01,4.378970E-01,4.022698E-01,3.644013E-01,3.252276E-01,2.857242E-01,2.468691E-01,2.096012E-01,1.747690E-01,1.430696E-01,1.149926E-01,9.078499E-02,7.045098E-02,5.378604E-02,4.043579E-02,2.996206E-02,2.190100E-02,1.580540E-02,1.127065E-02,7.947506E-03,5.545756E-03,3.831866E-03,2.623045E-03,1.779569E-03,1.196781E-03,7.977027E-04,5.266540E-04,3.439886E-04,2.218642E-04,1.409442E-04,8.790518E-05,5.361322E-05,3.182645E-05,1.828982E-05,1.011238E-05,5.342054E-06,2.675740E-06
-96.51670,50.06670,0.00000,5.683368E-01,5.483181E-01,5.236121E-01,4.943503E-01,4.609453E-01,4.240540E-01,3.845278E-01,3.433602E-01,3.016323E-01,2.604542E-01,2.208975E-01,1.839210E-01,1.502986E-01,1.205607E-01,9.496632E-02,7.350997E-02,5.596397E-02,4.194316E-02,3.097518E-02,2.256173E-02,1.622327E-02,1.152674E-02,8.099400E-03,5.632761E-03,3.879849E-03,2.648455E-03,1.792504E-03,1.203198E-03,8.009275E-04,5.284132E-04,3.450880E-04,2.226299E-04,1.414892E-04,8.827287E-05,5.383803E-05,3.194731E-05,1.834492E-05,1.013204E-05,5.346008E-06,2.674511E-06
-96.30000,49.36000,0.00000,5.365927E-01,5.169595E-01,4.929074E-01,4.646608E-01,4.327118E-01,3.977576E-01,3.606279E-01,3.222235E-01,2.834738E-01,2.453080E-01,2.086260E-01,1.742551E-01,1.428912E-01,1.150378E-01,9.096368E-02,7.069573E-02,5.404940E-02,4.068654E-02,3.018171E-02,2.208094E-02,1.594440E-02,1.137243E-02,8.018526E-03,5.593242E-03,3.862490E-03,2.642248E-03,1.791410E-03,1.204093E-03,8.023359E-04,5.297341E-04,3.461401E-04,2.234042E-04,1.420325E-04,8.864053E-05,5.407876E-05,3.209962E-05,1.843761E-05,1.018589E-05,5.375582E-06,2.689702E-06
