# mean, investigation_time=50.0
lon,lat,SA(0.2)-0.02,SA(0.2)-0.1
-99.95000,49.83330,5.875964E-02,1.716719E-02
-99.46670,50.23330,5.924611E-02,1.761362E-02
-98.29000,50.00000,5.942361E-02,1.771890E-02
-98.10000,49.18330,5.792409E-02,1.663368E-02
-97.15000,49.89000,6.024346E-02,1.814185E-02
-96.99000,50.64000,6.099033E-02,1.876462E-02
-96.86670,50.15000,6.091923E-02,1.856050E-02
-96.68330,49.53330,6.033377E-02,1.799998E-02
-96.51670,50.06670,6.146123E-02,1.875241E-02
-96.30000,49.36000,6.066341E-02,1.802156E-02
-96.21670,50.56670,6.239164E-02,1.931824E-02
-96.06000,50.27000,6.269007E-02,1.931996E-02
-94.66670,53.86670,6.041739E-02,1.874905E-02
-94.43000,49.82000,7.194675E-02,2.125611E-02
-93.82000,51.05000,7.749848E-02,2.256346E-02
-93.55000,49.80000,7.986494E-02,2.277566E-02
-93.39000,48.61000,7.300256E-02,1.967221E-02
-92.75000,49.78000,8.258449E-02,2.369192E-02
-91.98000,50.07000,8.396675E-02,2.438253E-02
-91.62000,48.75000,7.788012E-02,2.145396E-02
-91.13000,49.25000,8.151612E-02,2.308448E-02
-90.57000,49.25000,8.053757E-02,2.282458E-02
-90.00000,53.83000,6.101365E-02,1.907688E-02
-89.93000,48.83000,7.602157E-02,2.128775E-02
-89.32000,48.40000,6.821092E-02,1.961437E-02
-89.03000,50.30000,7.170439E-02,2.220736E-02
-88.53000,48.78000,6.531004E-02,2.018471E-02
-87.88000,52.23000,6.346450E-02,2.036884E-02
-87.52000,49.68000,6.446943E-02,2.075188E-02
-87.25000,48.80000,6.330613E-02,2.013189E-02
-86.95000,49.73000,6.420693E-02,2.083103E-02
-86.70000,50.17000,6.432352E-02,2.100273E-02
-85.28000,48.60000,6.952802E-02,2.379576E-02
-85.22000,50.02000,6.913068E-02,2.346143E-02
-84.78000,47.98000,7.226966E-02,2.508224E-02
-84.78000,49.22000,7.326684E-02,2.530597E-02
-84.33000,46.52000,7.351787E-02,2.608586E-02
-83.67000,49.68000,8.615827E-02,2.990463E-02
-83.40000,47.83000,8.705691E-02,3.147820E-02
-83.02000,42.30000,1.226838E-01,4.389958E-02
-82.65720,46.38110,9.494746E-02,3.545188E-02
-82.57000,42.08000,1.409385E-01,4.982544E-02
-82.47000,45.92000,9.483732E-02,3.595164E-02
