SRC_NAME,CODE,SRC_TYPE,SRC_WEIGHT,DEP_BEST,DEP_UPPER,DEP_LOWER,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BETA_BEST,BETA_LOWER,BETA_UPPER,BETA_FIX,BETA_FIX_S,YCOMP,MCOMP,YMAX,SHEEF_FILE
BIN - BAFFIN ISLAND NORTH,BIN,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.30000e,7.00000e,7.60000e,620.4278,873.7286,437.0919,1.917715,2.075999,1.759430,-99,-99,1976;1965;1951,2.8;3.3;5.0,2015,FULL
BIS - BAFFIN ISLAND SOUTH,BIS,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.30000e,7.00000e,7.60000e,368.2310,755.4654,174.9970,2.139037,2.462940,1.815134,-99,-99,1976;1965;1951,2.8;3.3;5.0,2015,FULL
BFB - BAFFIN BAY,BFB,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.80000e,7.40000e,8.00000e,249.7748,347.4508,177.6676,1.485843,1.620709,1.350977,-99,-99,1965;1951;1930;1917;1850,3.3;5.0;6.0;6.3;7.4,2015,FULL
LRN - LABRADOR RIDGE NORTH,LRN,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.80000e,7.40000e,8.00000e,192.5403,266.5075,136.6182,1.525885,1.670051,1.381719,-99,-99,1981;1965;1951,3.3;3.6;5.0,2015,FULL
LBS - LABRADOR SHELF,LBS,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.80000e,7.40000e,8.00000e,64.42374,143.3821,27.01678,1.554404,1.882375,1.226432,-99,-99,1981;1965;1938,3.4;3.6;5.0,2015,FULL
SCI - SOMERSET-CORNWALLIS ISLAND,SCI,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.30000e,7.00000e,7.60000e,510.2783,1532.604,163.3618,2.096774,2.502333,1.691214,-99,-99,1965;1951;1930;1917,3.3;5.0;6.0;6.3,2015,FULL
DVI - DEVON ISLAND,DVI,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.30000e,7.00000e,7.60000e,7768.362,48744.34,1219.803,3.225806,3.905512,2.546100,-99,-99,1965;1951;1930;1917,3.3;5.0;6.0;6.3,2015,FULL
INOH - INNUITIAN OROGEN,INOH,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.50000e,7.20000e,7.80000e,3265.406,6054.382,1742.040,2.277870,2.501716,2.054023,-99,-99,1965;1951;1935;1917,3.3;5.0;6.0;6.3,2015,FULL
UGV - UNGAVA,UGV,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.30000e,7.00000e,7.60000e,1109.149,6291.067,189.2412,2.287822,2.882747,1.692897,-99,-99,1965;1951;1930;1917,3.3;5.0;6.0;6.3,2015,FULL
QES - QUEEN ELIZABETH SHELF,QES,area,1.00000e,1.00000e,5.00000e,2.00000e,4.80000e,2.4,7.80000e,7.40000e,8.00000e,113.5661,174.2838,71.68900,1.295546,1.453224,1.137868,-99,-99,1965;1951;1935;1917,3.9;5.5;6.0;6.3,2015,FULL
