SRC_NAME,CODE,SRC_TYPE,SRC_WEIGHT,DEP_BEST,DEP_UPPER,DEP_LOWER,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BETA_BEST,BETA_LOWER,BETA_UPPER,BETA_FIX,BETA_FIX_S,YCOMP,MCOMP,YMAX,TRT,SHEEF_FILE
AIS - ALASKA INLAND - SHALLOW,AIS,area,1.0,15.0,5.0,30.0,4.8,2.4,8.0,7.8,8.2,221793.7,501781.5,97275.70,2.310843,1.993299,2.628388,FULL,FULL,1961;1951;1935;1917,5.0;5.5;6.0;6.8,2015,active,FULL
AKC - ALASKA COASTAL,AKC,area,1.0,20.0,10.0,30.0,7.0,2.4,9.3,9.3,9.5,86645.39,126339.6,59273.64,1.925390,1.775629,2.075152,FULL,FULL,1951;1930;1917,5.0;6.0;6.3,2015,interface,FULL
AKN - ALASKA NORTH,AKN,area,1.0,10.0,5.0,15.0,4.8,2.4,7.8,7.5,8.0,46287.70,81335.34,26194.20,2.268897,2.001429,2.536366,FULL,FULL,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015,active,FULL
AID - ALASKA INLAND - DEEP,AID,area,1.0,90.0,50.0,130.0,4.8,4.0,7.6,7.5,7.7,100247.0,128668.1,78002.41,2.102099,1.982759,2.221439,DEEP,DEEP,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015,intraslab,DEEP
DCR - DENALI CENTRAL REGION,DCR,area,1.0,10.0,5.0,15.0,4.8,2.4,6.7,6.5,6.9,72663.34,142534.5,36793.09,2.514948,2.182296,2.847599,FULL,FULL,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015,active,FULL
DSR - DENALI SOUTH REGION,DSR,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,6.9,7.5,1846.876,3988.337,836.6393,1.818181,1.430748,2.205615,FULL,FULL,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015,active,FULL
DCZ - DAWSON COMPRESSION ZONE,DCZ,area,1.0,10.0,5.0,15.0,4.8,2.4,7.6,7.4,7.8,49074.27,320685.5,7040.437,2.857142,1.954704,3.759580,FULL,FULL,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015,active,FULL
DWR - DENALI WEST REGION,DWR,area,1.0,10.0,5.0,15.0,4.8,2.4,6.7,6.5,6.9,107617.7,245564.0,46779.69,2.558926,2.175630,2.942222,FULL,FULL,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015,active,FULL
GCB - GLACIER BAY,GCB,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,7.0,7.4,1468.651,6304.141,329.4741,1.894736,1.198312,2.591160,FULL,FULL,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015,active,FULL
GOA - GULF OF ALASKA,GOA,area,1.0,10.0,5.0,15.0,4.8,2.4,8.0,7.8,8.2,34279.69,57222.62,20425.12,2.269300,2.011531,2.527069,FULL,FULL,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.8,2015,active,FULL
MKM - MACKENZIE MOUNTAINS,MKM,area,1.0,10.0,5.0,15.0,4.8,2.4,7.7,7.5,7.9,15445.24,17843.18,13357.06,2.126829,2.023986,2.229673,FULL,FULL,1982;1969;1965;1961;1951;1935;1917,3.0;3.3;3.8;5.0;5.5;6.0;6.8,2015,active,FULL
RMN - RICHARDSON MOUNTAINS NORTH,RMN,area,1.0,10.0,5.0,15.0,4.8,2.4,7.8,7.5,8.0,2712.045,3548.350,2065.054,2.016062,1.821332,2.210792,FULL,FULL,1982;1969;1965;1961;1951;1935;1917,3.0;3.3;3.8;5.0;5.5;6.0;6.8,2015,active,FULL
RMS - RICHARDSON MOUNTAINS SOUTH,RMS,area,1.0,10.0,5.0,15.0,4.8,2.4,7.8,7.5,8.0,1816.862,2225.658,1478.839,1.797131,1.645614,1.948647,FULL,FULL,1982;1969;1965;1961;1951;1935;1917,3.0;3.3;3.8;5.0;5.5;6.0;6.8,2015,active,FULL
WMR - WRANGELL MOUNTAINS REGION,WMR,area,1.0,20.0,10.0,30.0,4.8,2.4,7.6,7.4,7.8,74203.79,729696.1,6965.431,3.132530,1.989134,4.275925,FULL,FULL,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015,active,FULL
WSE - WEST ST ELIAS MOUNTAINS,WSE,area,1.0,10.0,5.0,15.0,4.8,2.4,7.3,7.1,7.5,24475.20,48063.97,12353.00,2.311367,1.972520,2.650214,FULL,FULL,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015,active,FULL
YAK - YAKUTAT COLLISION,YAK,area,1.0,10.0,5.0,15.0,4.8,2.4,8.1,7.9,8.4,205.2953,349.1148,118.6767,1.281216,0.987584,1.574847,FULL,FULL,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015,active,FULL
YAR - YUKON-ALASKA REGION,YAR,area,1.0,10.0,5.0,15.0,4.8,2.4,7.8,7.4,8.0,106379.2,649693.4,16773.14,2.918918,2.075495,3.762342,FULL,FULL,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015,active,FULL
YUS - YUKON SOUTH,YUS,area,1.0,10.0,5.0,15.0,4.8,2.4,7.8,7.4,8.0,2479.254,15236.42,374.6056,2.258064,1.326624,3.189504,FULL,FULL,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015,active,FULL
QCFA - QUEEN CHARLOTTE FAULT - AREA,QCFA,area,1.0,10.0,5.0,15.0,4.8,2.4,7.7,7.5,7.9,4847.598,14717.38,1558.680,1.764705,1.318002,2.211409,FULL,FULL,1961;1957;1935;1917,5.0;5.5;6.0;6.3,2015,active,FULL
FWFA - FAIRWEATHER FAULT - AREA,FWFA,area,1.0,10.0,5.0,15.0,4.8,4.9,7.7,7.5,7.9,25.47089,68.60393,8.596997,0.995475,0.523779,1.467170,FULL,FULL,1961;1957;1935;1917,5.0;5.5;6.0;6.3,2015,active,FULL
FTH  -  FOOTHILLS,FTH,area,1.0,10.0,5.0,15.0,4.8,2.4,7.0,6.9,7.5,3495.692,7899.865,1523.757,2.486085,1.949719,3.022451,FULL,FULL,1982;1965;1940;1917;1899,3.1;3.3;5.3;5.8;6.8,2015,active,FULL
NBC - NORTHERN BRITISH COLUMBIA,NBC,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,6.9,7.5,1859.197,18324.70,175.1577,2.857142,1.332941,4.381343,FULL,FULL,1982;1965;1940;1917,3.0;3.3;5.3;5.8,2015,active,FULL
ROCN - ROCKY MOUNTAIN FOLD/THRUST BELT NORTH,ROCN,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,7.0,7.7,9780.202,109587.7,818.2857,3.265306,1.731534,4.799077,FULL,FULL,1982;1965;1940;1917;1899,3.1;3.3;5.3;5.8;6.8,2015,active,FULL
CSTN  -  COASTAL MOUNTAINS NARROW,CSTN,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,6.9,7.5,19508.46,177691.2,2029.079,2.992125,1.788530,4.195721,FULL,FULL,1972;1965;1940;1917;1899,3.6;4.3;5.3;5.8;6.8,2015,active,FULL
