 186410291455  5.5  -123.250   48.750   PGC             Mw   5.5 Mq     5.50
 192302121830  4.3  -122.700   49.000   PGC             Mw   4.3 Mq     4.30
 192801241745  3.0  -122.200   49.100   PGC             Mw   3.0 Mq     3.00
 194506152224  4.2  -123.500   49.000   PGC             Mw   4.2 Mq     4.20
 194607050241  4.5  -125.500   49.830   PGC             Mw   4.5 Mq     4.50
 195503060839  2.8  -124.530   50.530   PGC             Mw   2.8 Mq     2.80
 195501051605  2.0  -124.400   49.400   PGC             Mw   2.0 Mq     2.00
 195506032021  2.6  -123.553   49.423   PGC     48.00   Mw   2.0 Mq     2.57
 195502161414  2.3  -125.600   49.600   PGC             Mw   2.3 Mq     2.30
 195509091758  2.8  -124.000   49.200   PGC             Mw   2.8 Mq     2.80
 195509280109  2.8  -126.300   49.500   PGC             Mw   2.8 Mq     2.80
 195506061523  2.6  -123.326   48.741   PGC     58.00   Mw   2.0 Mq     2.57
 195512060321  3.6  -123.504   50.646   PGC      5.00   Mw   3.6 Mq     3.60
 195503140155  2.3  -123.564   49.858   PGC      7.00   Mw   2.3 Mq     2.30
 195508312330  2.7  -122.100   49.000   PGC             Mw   2.7 Mq     2.70
 195503242240  2.2  -122.644   49.373   PGC      5.00   Mw   2.2 Mq     2.20
 195602291729  2.9  -125.813   49.075   PGC     23.00   Mw   2.9 Mq     2.90
 195604271616  3.6  -123.995   49.479   PGC     48.00   Mw   3.0 Mq     3.57
 195504072345  2.0  -122.000   48.974   PGC      5.00   Mw   2.0 Mq     2.00
 195605081545  2.8  -123.628   49.315   PGC      8.00   Mw   2.8 Mq     2.80
 195601260247  2.6  -124.005   49.446   PGC     70.00   Mw   2.0 Mq     2.57
 195506032131  2.0  -123.700   49.362   PGC     19.00   Mw   2.0 Mq     2.00
 195612110739  2.9  -124.400   50.900   PGC             Mw   2.9 Mq     2.90
 195602230629  2.6  -122.500   49.500   PGC             Mw   2.6 Mq     2.60
 195612161946  2.8  -125.600   48.980   PGC             Mw   2.8 Mq     2.80
 195506032143  2.0  -123.699   49.440   PGC     17.00   Mw   2.0 Mq     2.00
 195703072331  3.3  -123.982   49.438   PGC     60.00   Mw   2.7 Mq     3.27
 195506032239  2.0  -124.100   49.430   PGC             Mw   2.0 Mq     2.00
 195703160037  3.7  -124.350   49.800   PGC             Mw   3.7 Mq     3.70
 195709061233  3.4  -123.929   49.313   PGC     66.00   Mw   2.8 Mq     3.37
 195508102234  2.2  -123.920   48.620   PGC             Mw   2.2 Mq     2.20
 195709140320  3.4  -123.950   48.700   PGC             Mw   3.4 Mq     3.40
 195605171712  2.5  -124.200   50.500   PGC             Mw   2.5 Mq     2.50
 195509061102  2.0  -123.500   49.700   PGC             Mw   2.0 Mq     2.00
 195709170637  3.3  -124.985   51.150   PGC      1.00   Mw   3.3 Mq     3.30
 195606010240  2.5  -125.800   50.700   PGC             Mw   2.5 Mq     2.50
 195803031934  3.0  -123.720   49.570   PGC             Mw   3.0 Mq     3.00
 195607250213  2.7  -122.139   49.052   PGC     23.00   Mw   2.7 Mq     2.70
 195509061112  2.0  -123.500   49.700   PGC             Mw   2.0 Mq     2.00
 195803132338  3.0  -122.200   49.100   PGC             Mw   3.0 Mq     3.00
 195610112102  2.7  -123.700   50.200   PGC             Mw   2.7 Mq     2.70
 195803181330  3.1  -122.400   49.000   PGC             Mw   3.1 Mq     3.10
 195510161112  2.0  -124.900   48.500   PGC             Mw   2.0 Mq     2.00
 195812041745  2.8  -123.862   49.649   PGC     50.00   Mw   2.2 Mq     2.77
 195702010938  2.6  -123.963   49.375   PGC     64.00   Mw   2.0 Mq     2.57
 195812251758  3.2  -124.600   51.100   PGC             Mw   3.2 Mq     3.20
 195510190425  2.0  -125.500   49.870   PGC             Mw   2.0 Mq     2.00
 195511172339  2.0  -122.755   49.332   PGC     24.00   Mw   2.0 Mq     2.00
 195902170308  2.9  -123.979   49.657   PGC     35.00   Mw   2.3 Mq     2.87
 195703070803  2.6  -125.000   50.950   PGC             Mw   2.6 Mq     2.60
 195902172025  2.8  -124.087   49.208   PGC     69.00   Mw   2.2 Mq     2.77
 195703132104  2.6  -125.200   49.200   PGC             Mw   2.6 Mq     2.60
 195512122239  2.0  -124.920   49.650   PGC             Mw   2.0 Mq     2.00
 195910152305  2.8  -123.600   49.700   PGC             Mw   2.8 Mq     2.80
 195910152315  2.8  -123.392   49.803   PGC      5.00   Mw   2.8 Mq     2.80
 195601220042  2.3  -123.300   49.500   PGC             Mw   2.3 Mq     2.30
 195703220157  2.7  -123.759   49.578   PGC     40.00   Mw   2.1 Mq     2.67
 195910152321  2.8  -123.700   49.600   PGC             Mw   2.8 Mq     2.80
 195703220223  2.7  -123.643   49.614   PGC     66.00   Mw   2.1 Mq     2.67
 196001190900  3.3  -124.480   51.100   PGC             Mw   3.3 Mq     3.30
 196101040726  3.3  -124.870   50.920   PGC             Mw   3.3 Mq     3.30
 195703220343  2.6  -125.220   49.830   PGC             Mw   2.6 Mq     2.60
 196107160140  2.8  -124.920   49.730   PGC             Mw   2.8 Mq     2.80
 195704242256  2.7  -121.931   48.986   PGC     11.00   Mw   2.7 Mq     2.70
 195603270826  2.0  -122.770   49.192   PGC     19.00   Mw   2.0 Mq     2.00
 195603271103  2.0  -122.800   49.200   PGC             Mw   2.0 Mq     2.00
 195708161020  2.6  -123.970   49.120   PGC             Mw   2.6 Mq     2.60
 196201171927  3.3  -124.970   48.550   PGC             Mw   3.3 Mq     3.30
 195603271531  2.0  -122.780   49.203   PGC     23.00   Mw   2.0 Mq     2.00
 196201292149  3.5  -124.620   49.030   PGC             Mw   3.5 Mq     3.50
