 195301112253  6.3  -132.730   65.270   CB93     9.00   Mw   6.3 Mw     6.30
 195601071641  6.5  -132.702   65.340   WHI     10.00   Mwp  6.5 ML     6.50
 195712100000  5.7  -133.000   65.500   GSC      0.00   Mwp  5.7 ML     5.70
 196503171753  3.9  -132.670   65.170   GSC      0.00   Mwp  3.9 ML     3.90
 196503301329  4.1  -127.000   60.000   PGC             Mw   4.1 Mq     4.10
 196510050017  5.1  -133.000   65.410   GSC     33.00   Mwp  5.2 MB     5.10
 196510140144  4.1  -132.000   65.420   GSC      0.00   Mwp  4.1 ML     4.10
 196510170929  4.0  -128.000   62.750   GSC      0.00   Mwp  4.0 ML     4.00
 196604050000  4.3  -126.900   61.700   GSC      0.00   Mwp  4.3 ML     4.30
 196604051432  4.3  -126.000   61.170   GSC      0.00   Mwp  4.1 MB     4.27
 196903131843  5.0  -128.360   63.560   GSC     18.00 G Mwp  5.0 MN     5.00
 196903140213  3.4  -128.640   63.420   GSC     18.00 G Mwp  3.4 MN     3.40
 196912251021  3.6  -125.300   62.870   GSC     18.00 G Mwp  3.6 MN     3.60
 197004131425  3.3  -133.110   65.450   GSC     18.00 G Mwp  3.3 MN     3.30
 197102231157  3.7  -129.790   63.460   GSC     18.00 G Mwp  3.7 ML     3.70
 197103291639  4.0  -123.390   62.820   GSC     18.00 G Mwp  4.0 MN     4.00
 197108250437  3.3  -125.540   62.770   GSC     18.00 G Mwp  3.3 ML     3.30
 197108270123  3.3  -125.790   64.050   GSC     18.00 G Mwp  3.3 ML     3.30
 197111100812  3.7  -127.380   63.240   GSC     18.00 G Mwp  3.7 ML     3.70
 197202121752  4.9  -124.840   62.620   GSC     18.00 G Mwp  4.9 MN     4.90
 197202211335  3.5  -125.460   62.610   GSC     18.00 G Mwp  3.5 ML     3.50
 197303232104  3.4  -129.940   63.930   GSC     18.00 G Mwp  3.4 MN     3.40
 197408141955  4.1  -124.450   62.430   GSC     18.00 G Mwp  4.1 MN     4.10
 197412151951  3.4  -130.840   64.950   GSC     18.00 G Mwp  3.4 MN     3.40
 197508240027  4.3  -127.760   62.540   GSC     18.00 G Mwp  4.3 ML     4.30
 197509211415  3.3  -125.400   62.740   GSC     18.00 G Mwp  3.3 MN     3.30
 197510160757  3.3  -132.660   65.510   GSC     18.00 G Mwp  3.3 ML     3.30
 197605021616  3.3  -125.390   62.460   GSC     18.00 G Mwp  3.3 MN     3.30
 197608161936  3.5  -125.660   62.340   GSC     18.00 G Mwp  3.5 ML     3.50
 197702040346  3.3  -126.150   62.870   GSC     18.00 G Mwp  3.3 MN     3.30
 197704210935  3.5  -127.360   60.060   GSC     18.00 G Mwp  3.5 ML     3.50
 197705080210  3.3  -124.990   62.990   GSC     18.00 G Mwp  3.3 MN     3.30
 197807290709  3.4  -127.540   62.520   GSC     18.00 G Mwp  3.4 ML     3.40
 197811190924  4.3  -128.330   62.830   GSC     18.00 G Mwp  4.3 ML     4.30
 197907111407  5.0  -127.570   62.870   GSC     18.00 G Mwp  5.0 MN     5.00
 197908061246  3.5  -128.620   63.180   GSC     18.00 G Mwp  3.5 ML     3.50
 198003252230  3.3  -131.290   64.050   GSC     18.00 G Mwp  3.3 MN     3.30
 198011050253  3.6  -126.440   62.830   GSC     18.00 G Mwp  3.6 MN     3.60
 198011062233  3.4  -131.890   64.910   GSC     18.00 G Mwp  3.4 ML     3.40
 198101071150  3.3  -125.220   62.690   GSC     18.00 G Mwp  3.3 MN     3.30
 198101071320  3.6  -125.220   62.730   GSC     18.00 G Mwp  3.6 MN     3.60
 198101231740  3.4  -126.510   63.270   GSC     18.00 G Mwp  3.4 MN     3.40
 198102201737  4.9  -123.130   63.460   GSC     18.00 G Mwp  4.9 MN     4.90
 198102240836  3.3  -123.380   63.440   GSC     18.00 G Mwp  3.3 MN     3.30
 198102250910  3.7  -123.310   63.530   GSC     18.00 G Mwp  3.7 MN     3.70
 198105012215  3.3  -123.290   63.440   GSC     18.00 G Mwp  3.3 MN     3.30
 198109030816  3.4  -123.360   63.410   GSC     18.00 G Mwp  3.4 MN     3.40
 198110272217  3.3  -131.850   64.360   GSC     18.00 G Mwp  3.3 ML     3.30
 198112012303  4.3  -130.020   63.840   GSC     18.00 G Mwp  4.3 ML     4.30
 198112080922  3.6  -123.320   63.540   GSC     18.00 G Mwp  3.6 MN     3.60
 198204241800  3.0  -125.160   62.820   GSC     18.00 G Mwp  3.0 ML     3.00
 198209230812  3.6  -123.680   62.970   GSC     18.00 G Mwp  3.6 MN     3.60
 198211031633  4.1  -126.090   65.560   GSC     18.00 G Mwp  4.1 ML     4.10
 198301100846  3.6  -124.200   60.760   GSC     18.00 G Mwp  3.6 ML     3.60
 198301120520  3.9  -125.990   62.820   GSC     18.00 G Mwp  3.9 ML     3.90
